depths	NGAM
5.87	25.59381916
5.88	25.59381916
5.89	25.59381916
5.9	25.59381916
5.91	24.22181848
5.92	22.18955941
5.93	20.5483973
5.94	21.42994613
5.95	21.01355882
5.96	19.83755824
5.97	18.88284809
5.98	18.515235
5.99	18.80968676
6	18.80968676
6.01	19.39678383
6.02	19.00568686
6.03	19.77884853
6.04	19.48439677
6.05	18.84762226
6.06	18.34723492
6.07	18.44568658
6.08	17.87304113
6.09	18.95600941
6.1	18.36800912
6.11	16.85600837
6.12	16.44504043
6.13	15.5634916
6.14	15.72245942
6.15	16.09007251
6.16	16.82439545
6.17	17.96155731
6.18	16.74400832
6.19	17.50000869
6.2	19.13755789
6.21	20.43910692
6.22	19.80233242
6.23	21.98543027
6.24	21.80297857
6.25	23.92917317
6.26	24.71136711
6.27	26.62169064
6.28	27.1672393
6.29	26.40310989
6.3	27.49511043
6.31	28.79124011
6.32	30.01962781
6.33	28.10930428
6.34	26.81317461
6.35	27.35872327
6.36	25.72117407
6.37	24.08362486
6.38	22.44607566
6.39	24.08362486
6.4	21.76413984
6.41	21.76413984
6.42	20.12659064
6.43	20.12659064
6.44	19.17188049
6.45	19.71742915
6.46	20.26297781
6.47	20.12659064
6.48	18.48904144
6.49	16.85149224
6.5	18.28491231
6.51	16.85149224
6.52	16.30594358
6.53	17.94349278
6.54	17.80710562
6.55	18.35265428
6.56	18.14852514
6.57	19.92155828
6.58	20.10400998
6.59	20.92233297
6.6	19.2170418
6.61	18.80788031
6.62	17.71587977
6.63	18.12504126
6.64	19.08065464
6.65	18.53510598
6.66	17.9886541
6.67	17.10168591
6.68	19.01200944
6.69	19.42207416
6.7	19.69484849
6.71	19.69484849
6.72	19.08065464
6.73	18.49717048
6.74	16.24542742
6.75	15.44968509
6.76	15.17691076
6.77	15.65381423
6.78	16.06297572
6.79	16.6094276
6.8	16.74581477
6.81	17.22362146
6.82	17.22362146
6.83	18.17833161
6.84	17.63278295
6.85	16.81355674
6.86	15.85884659
6.87	14.42632975
6.88	15.10826557
6.89	16.54078241
6.9	15.69174973
6.91	16.16955642
6.92	16.64736311
6.93	16.64736311
6.94	17.60207326
6.95	17.92091213
