Depth	Gamma								
194.2	169.5								
194.2	166.5								
194.3	165								
194.3	162.7								
194.4	161.2								
194.4	158.1								
194.4	156.6								
194.4	155.1								
194.5	155.1								
194.6	157.4								
194.7	161.2								
194.7	161.9								
194.8	162.7								
195	161.9								
195.1	160.4								
195.4	160.4								
195.5	160.4								
195.7	162.7								
195.8	165								
195.9	167.2								
196.3	174.1								
196.3	174.1								
196.3	171.8								
196.3	171								
196.4	169.5								
196.5	168.7								
196.6	171								
196.6	171								
196.8	172.5								
196.9	171.8								
196.9	171.8								
197.3	169.5								
197.4	169.5								
197.4	168								
197.4	167.2								
197.4	167.2								
197.6	165								
197.6	165								
197.7	164.2								
197.7	163.4								
197.8	161.2								
197.9	158.1								
197.9	155.9								
198	153.6								
198.1	152.1								
198.1	152.1								
198.3	152.1								
198.3	152.1								
198.4	153.6								
198.6	156.6								
198.6	161.9								
198.9	166.5								
199	168.7								
199	168.7								
199	170.3								
199.1	167.2								
199.1	165.7								
199.1	164.2								
199.1	161.9								
199.2	158.9								
199.4	158.1								
199.5	161.9								
199.6	165.7								
199.7	167.2								
199.7	167.2								
199.8	166.5								
199.8	165								
199.9	164.2								
200.1	164.2								
200.2	164.2								
200.2	161.9								
200.3	161.9								
200.4	161.9								
200.5	161.2								
200.5	160.4								
200.5	158.1								
200.8	158.9								
200.9	161.2								
200.9	161.2								
201	162.7								
201.1	166.5								
201.1	167.2								
201.1	171								
201.1	174.8								
201.1	177.8								
201.1	179.4								
201.2	180.1								
201.3	177.1								
201.4	174.8								
201.5	174.1								
201.5	172.5								
201.5	168.7								
201.6	165.7								
201.6	165								
201.6	161.2								
201.6	157.4								
201.6	154.3								
201.6	149								
201.7	147.5								
201.8	149.8								
201.8	150.5								
201.9	153.6								
201.9	155.9								
202	156.6								
202.1	157.4								
202.1	155.9								
202.1	154.3								
202.1	151.3								
202.2	148.3								
202.3	146								
202.4	143.7								
202.4	140.7								
202.6	136.9								
202.7	136.1								
202.8	136.9								
202.8	136.9								
202.9	139.2								
202.9	140.7								
203	143								
203.1	146								
203.2	149.8								
203.2	150.5								
203.2	152.1								
203.2	154.3								
203.3	154.3								
203.5	154.3								
203.7	151.3								
203.8	151.3								
203.9	155.1								
204	158.1								
204	158.9								
204.1	161.9								
204.1	164.2								
204.2	167.2								
204.3	170.3								
204.3	171								
204.4	171.8								
204.5	171.8								
204.5	171.8								
204.6	168								
204.7	165								
204.8	164.2								
204.8	161.9								
204.8	158.1								
204.9	155.9								
205	155.9								
205	154.3								
205.1	154.3								
205.2	155.1								
205.3	158.9								
205.4	161.9								
205.5	163.4								
205.6	164.2								
205.7	165.7								
205.8	166.5								
205.9	165								
206	163.4								
206	162.7								
206.3	164.2								
206.5	160.4								
206.5	158.9								
206.6	158.9								
206.6	158.9								
206.6	157.4								
206.8	158.1								
206.8	161.9								
206.8	161.9								
206.9	165								
207	168								
207	170.3								
207.1	170.3								
207.2	168.7								
207.4	168								
207.4	171								
207.5	174.1								
207.5	175.6								
207.6	176.3								
207.6	177.8								
207.7	179.4								
207.7	180.1								
207.8	178.6								
207.8	177.8								
207.9	175.6								
208	171.8								
208	167.2								
208.1	165								
208.2	162.7								
208.3	159.6								
208.5	156.6								
208.5	160.4								
208.6	165.7								
208.7	169.5								
208.8	171.8								
208.9	176.3								
208.9	177.1								
209	177.1								
209.1	177.1								
209.1	176.3								
209.3	171.8								
209.3	171.8								
209.3	168.7								
209.3	168								
209.3	164.2								
209.3	161.9								
209.4	160.4								
209.4	156.6								
209.5	156.6								
209.5	156.6								
209.6	158.9								
209.6	159.6								
209.7	160.4								
209.8	163.4								
209.8	163.4								
209.8	164.2								
209.8	164.2								
210	164.2								
210	161.9								
210.1	158.1								
210.2	155.9								
210.3	152.1								
210.5	151.3								
210.5	153.6								
210.6	156.6								
210.6	162.7								
210.7	165.7								
210.7	166.5								
210.8	168.7								
210.9	169.5								
210.9	171								
210.9	174.1								
210.9	174.8								
211	174.8								
211.1	174.8								
211.2	170.3								
211.2	166.5								
211.2	166.5								
211.2	164.2								
211.2	160.4								
211.2	158.1								
211.3	155.1								
211.3	152.1								
211.4	148.3								
211.4	146.8								
211.4	143								
211.5	140.7								
211.7	140.7								
211.7	142.2								
211.8	145.2								
211.8	149.8								
211.9	150.5								
212.2	150.5								
212.2	150.5								
212.3	149.8								
212.5	149								
212.7	150.5								
212.8	155.1								
212.8	156.6								
212.8	159.6								
212.9	163.4								
212.9	165								
213	167.2								
213	171.8								
213.1	175.6								
213.3	180.1								
213.3	180.1								
213.4	180.9								
213.5	178.6								
213.5	177.1								
213.5	173.3								
213.6	170.3								
213.7	166.5								
213.7	162.7								
213.9	158.9								
213.9	157.4								
213.9	155.1								
213.9	153.6								
214	152.1								
214.2	154.3								
214.2	155.1								
214.3	158.9								
214.4	163.4								
214.4	165								
214.5	168								
214.6	172.5								
214.8	176.3								
214.8	176.3								
214.8	178.6								
214.8	180.1								
214.9	180.9								
215.1	178.6								
215.2	174.8								
215.2	174.1								
215.3	173.3								
215.5	175.6								
215.5	179.4								
215.6	178.6								
215.6	177.8								
215.7	175.6								
215.7	171								
215.8	168.7								
215.9	165.7								
216.1	163.4								
216.2	161.9								
216.3	159.6								
216.3	158.1								
216.4	155.9								
216.7	153.6								
216.8	155.9								
216.8	157.4								
216.8	161.2								
216.9	166.5								
217	169.5								
217.1	173.3								
217.1	177.8								
217.2	180.9								
217.3	182.4								
217.3	183.9								
217.5	184.7								
217.6	181.6								
217.6	177.8								
217.6	177.1								
217.7	175.6								
217.7	171.8								
217.9	168.7								
217.9	168.7								
217.9	167.2								
218	168.7								
218.3	171								
218.3	172.5								
218.4	172.5								
218.4	170.3								
218.4	169.5								
218.4	167.2								
218.6	165								
218.6	162.7								
218.6	159.6								
218.7	159.6								
218.9	161.9								
218.9	162.7								
219	162.7								
219	162.7								
219.1	160.4								
219.2	158.1								
219.3	155.1								
219.4	155.1								
219.5	154.3								
219.5	158.1								
219.6	163.4								
219.7	168								
219.8	172.5								
219.9	174.8								
220	174.8								
220.2	172.5								
220.2	168.7								
220.2	168								
220.2	165.7								
220.2	162.7								
220.3	159.6								
220.3	158.9								
220.3	158.9								
220.5	162.7								
220.5	167.2								
220.6	169.5								
220.8	171.8								
220.9	172.5								
220.9	172.5								
221	169.5								
221.1	167.2								
221.1	166.5								
221.1	163.4								
221.2	160.4								
221.2	157.4								
221.2	155.9								
221.3	152.8								
221.4	151.3								
221.5	149.8								
221.5	149								
221.7	147.5								
221.8	149.8								
221.8	153.6								
221.9	155.1								
222	155.9								
222	158.9								
222.1	159.6								
222.1	159.6								
222.2	159.6								
222.3	164.2								
222.3	165.7								
222.5	169.5								
222.6	172.5								
222.6	174.1								
222.8	174.8								
222.9	174.8								
223	171.8								
223.1	171								
223.3	171								
223.3	174.1								
223.3	174.8								
223.4	178.6								
223.4	183.2								
223.6	185.4								
223.7	186.9								
223.8	187.7								
223.8	187.7								
224	184.7								
224.1	180.9								
224.2	179.4								
224.5	174.8								
224.5	174.1								
224.5	171.8								
224.6	169.5								
224.8	169.5								
224.8	169.5								
225	168.7								
225.1	168								
225.2	167.2								
225.3	163.4								
225.4	161.2								
225.4	160.4								
225.5	159.6								
225.6	159.6								
225.6	158.9								
225.7	157.4								
225.7	157.4								
225.8	160.4								
225.8	161.2								
225.8	161.2								
225.9	161.9								
225.9	163.4								
225.9	165								
226	165								
226.1	164.2								
226.2	162.7								
226.2	159.6								
226.3	158.9								
226.4	161.2								
226.4	161.2								
226.4	163.4								
226.5	165								
226.6	166.5								
226.6	167.2								
226.7	167.2								
226.8	167.2								
226.8	166.5								
227	165								
227.1	164.2								
227.1	164.2								
227.2	164.2								
227.3	165								
227.4	165								
227.5	165								
227.5	165.7								
227.6	168								
227.6	169.5								
227.7	171.8								
227.8	173.3								
227.8	174.1								
227.8	177.1								
227.8	179.4								
227.9	181.6								
227.9	183.9								
227.9	184.7								
228	186.2								
228	186.9								
228.1	184.7								
228.1	182.4								
228.2	181.6								
228.2	180.1								
228.2	179.4								
228.2	177.8								
228.3	174.8								
228.4	173.3								
228.5	173.3								
228.5	173.3								
228.6	174.8								
228.6	175.6								
228.6	177.1								
228.6	177.8								
228.8	179.4								
228.8	179.4								
228.8	181.6								
229	182.4								
229	179.4								
229.1	177.1								
229.1	174.1								
229.1	174.1								
229.1	171.8								
229.1	170.3								
229.2	166.5								
229.3	166.5								
229.5	166.5								
229.6	166.5								
229.6	166.5								
229.8	166.5								
229.9	165.7								
230	165								
230	162.7								
230	161.9								
230.1	161.2								
230.1	158.9								
230.2	158.1								
230.2	157.4								
230.2	155.9								
230.4	153.6								
230.5	153.6								
230.7	158.1								
230.7	159.6								
231	160.4								
231	160.4								
231.1	159.6								
231.2	158.9								
231.3	156.6								
231.3	155.9								
231.3	155.1								
231.3	153.6								
231.4	151.3								
231.4	150.5								
231.5	147.5								
231.6	149								
231.6	149.8								
231.6	155.1								
231.6	156.6								
231.6	158.1								
231.7	161.2								
231.8	162.7								
231.8	163.4								
231.9	164.2								
232	164.2								
232.2	165.7								
232.3	167.2								
232.3	170.3								
232.3	171.8								
232.4	172.5								
232.4	172.5								
232.5	171								
232.6	169.5								
232.6	168.7								
232.6	166.5								
232.6	165.7								
232.7	168								
232.8	168.7								
232.8	171.8								
232.8	172.5								
232.8	174.8								
232.9	177.8								
233	180.1								
233	180.1								
233.1	179.4								
233.1	178.6								
233.1	177.8								
233.2	176.3								
233.2	171.8								
233.4	168.7								
233.4	168								
233.3	165.7								
233.3	162.7								
233.4	161.2								
233.5	161.2								
233.6	160.4								
233.6	159.6								
233.7	159.6								
233.9	162.7								
234	162.7								
234	162.7								
234.1	162.7								
234.2	163.4								
234.3	165								
234.4	165.7								
234.5	167.2								
234.5	168								
234.5	170.3								
234.5	171.8								
234.6	171.8								
234.8	171.8								
234.9	169.5								
235	168.7								
235	168.7								
235.1	171								
235.2	173.3								
235.2	177.1								
235.3	177.1								
235.4	177.1								
235.6	174.8								
235.8	174.1								
235.9	173.3								
236	172.5								
236	170.3								
236	168								
236	168								
236	166.5								
236.1	164.2								
236.2	162.7								
236.2	162.7								
236.2	161.9								
236.2	161.2								
236.2	160.4								
236.2	158.9								
236.2	157.4								
236.2	157.4								
236.2	156.6								
236.3	156.6								
236.4	156.6								
236.4	159.6								
236.4	160.4								
236.5	164.2								
236.5	167.2								
236.5	168								
236.6	171.8								
236.7	174.8								
236.7	175.6								
236.7	177.1								
236.8	178.6								
236.8	179.4								
236.8	179.4								
236.9	178.6								
236.9	177.8								
237	175.6								
237.1	172.5								
237.1	171.8								
237.1	170.3								
237.1	168								
237.3	166.5								
237.3	166.5								
237.4	166.5								
237.4	166.5								
237.5	166.5								
237.5	167.2								
237.6	167.2								
237.6	165.7								
237.7	164.2								
237.9	163.4								
237.9	163.4								
238	163.4								
238	164.2								
238	164.2								
238	164.2								
238.1	164.2								
238.1	162.7								
238.2	159.6								
238.2	158.9								
238.3	158.1								
238.4	155.1								
238.5	154.3								
238.5	152.8								
238.5	149								
238.6	146								
238.6	145.2								
238.7	144.5								
238.8	144.5								
238.8	144.5								
239	147.5								
238.9	151.3								
238.9	151.3								
239.1	151.3								
239.2	149								
239.2	149								
239.2	149.8								
239.3	152.8								
239.4	155.9								
239.4	156.6								
239.4	158.9								
239.5	161.2								
239.7	161.2								
239.7	161.9								
239.8	166.5								
239.9	168								
240	169.5								
240.1	172.5								
240.1	172.5								
240	171								
240.1	167.2								
240.1	166.5								
240.2	165								
240.3	163.4								
240.3	161.2								
240.3	160.4								
240.4	159.6								
240.5	159.6								
240.6	159.6								
240.6	159.6								
240.7	161.2								
240.8	165								
240.8	165								
240.8	165								
240.9	164.2								
240.9	162.7								
241	161.2								
241.1	160.4								
241.2	159.6								
241.3	161.2								
241.4	161.2								
241.4	161.2								
241.5	161.2								
241.6	161.2								
241.7	161.2								
241.7	162.7								
241.8	165.7								
242	169.5								
242.1	175.6								
242.1	177.1								
242.1	183.2								
242.1	187.7								
242.2	191.5								
242.3	194.5								
242.3	196.8								
242.3	197.6								
242.2	198.3								
242.2	199.8								
242.2	200.6								
242.2	201.4								
242.3	202.1								
242.3	202.1								
242.4	199.1								
242.5	193.8								
242.5	193								
242.6	190								
242.7	186.2								
242.7	186.2								
242.7	182.4								
242.7	180.1								
242.8	177.1								
242.9	174.1								
243	174.8								
243.1	174.1								
243.2	174.1								
243.2	173.3								
243.3	172.5								
243.4	170.3								
243.4	168.7								
243.4	166.5								
243.5	165.7								
243.6	164.2								
243.7	164.2								
243.8	170.3								
243.8	171								
243.8	172.5								
244	174.1								
244	171.8								
244	168								
244.1	167.2								
244.2	164.2								
244.2	164.2								
244.2	163.4								
244.2	159.6								
244.2	157.4								
244.2	154.3								
244.3	149.8								
244.3	147.5								
244.4	147.5								
244.4	148.3								
244.5	150.5								
244.7	156.6								
244.7	157.4								
244.7	159.6								
244.7	161.9								
244.8	164.2								
244.8	165								
245.1	159.6								
245.2	156.6								
245.2	156.6								
245.3	157.4								
245.3	160.4								
245.4	161.9								
245.6	162.7								
245.6	162.7								
245.6	160.4								
245.7	156.6								
245.9	157.4								
245.9	158.1								
246	160.4								
246	161.2								
246.1	163.4								
246.1	165								
246.2	164.2								
246.2	161.9								
246.2	159.6								
246.2	158.9								
246.2	158.1								
246.3	156.6								
246.4	160.4								
246.4	160.4								
246.5	165.7								
246.6	167.2								
246.6	168								
246.7	172.5								
246.9	175.6								
246.9	177.1								
246.9	177.8								
247	177.1								
247.1	172.5								
247.2	168								
247.2	167.2								
247.2	165.7								
247.2	165								
247.2	162.7								
247.2	161.9								
247.2	159.6								
247.2	156.6								
247.3	152.8								
247.3	150.5								
247.4	146								
247.5	149								
247.5	151.3								
247.5	152.1								
247.6	155.1								
247.7	158.1								
247.7	158.1								
247.8	156.6								
247.9	155.1								
248	155.1								
248.1	155.1								
248.2	155.9								
248.2	155.9								
248.3	159.6								
248.3	163.4								
248.4	166.5								
248.5	166.5								
248.6	162.7								
248.7	159.6								
248.7	154.3								
248.7	152.1								
248.8	151.3								
248.9	153.6								
249	159.6								
249.1	159.6								
249.1	161.9								
249.2	161.9								
249.3	161.9								
249.4	158.9								
249.5	155.9								
249.6	153.6								
249.7	152.8								
249.8	152.8								
249.9	152.8								
250.1	149								
250.1	147.5								
250.2	144.5								
250.4	141.4								
250.4	141.4								
250.6	138.4								
250.7	137.7								
250.1	149.8								
250.1	145.2								
250.4	141.4								
250.8	134.6								
250.9	134.6								
251	137.7								
251	141.4								
251	143								
251	146								
251.1	149								
251.2	152.1								
251.2	153.6								
251.2	154.3								
251.2	155.9								
251.2	158.1								
251.3	158.9								
251.5	154.3								
251.5	152.8								
251.5	151.3								
251.7	146								
251.7	146								
251.9	150.5								
251.9	151.3								
251.9	152.8								
252.1	158.1								
252.1	159.6								
252.1	159.6								
252.3	160.4								
252.4	156.6								
252.5	152.8								
252.6	150.5								
252.7	155.1								
252.9	158.9								
252.9	161.2								
253.1	164.2								
253.2	165								
253.4	161.9								
253.5	158.9								
253.6	154.3								
253.6	151.3								
253.6	149.8								
253.6	149								
253.6	147.5								
253.7	145.2								
253.8	141.4								
253.8	139.9								
253.8	139.9								
254.1	141.4								
254.1	145.2								
254.2	151.3								
254.2	151.3								
254.3	155.1								
254.5	158.9								
254.6	162.7								
254.6	162.7								
254.8	165								
254.9	163.4								
255	160.4								
255	155.9								
255	154.3								
255	152.8								
255	149								
255.1	146								
255.1	145.2								
255.2	139.2								
255.3	133.9								
255.5	131.6								
255.6	136.9								
255.7	143.7								
255.7	147.5								
255.7	149								
255.9	152.1								
256	156.6								
256.1	159.6								
256.1	160.4								
256.2	162.7								
256.3	167.2								
256.6	165.7								
256.6	162.7								
256.3	162.7								
256.3	163.4								
256.5	161.2								
256.5	155.9								
256.6	152.8								
256.7	149								
256.8	146.8								
256.8	146								
256.9	145.2								
256.9	145.2								
257.1	149.8								
257.1	153.6								
257.6	159.6								
257.6	161.2								
257.7	166.5								
257.8	171								
257.9	174.8								
258	177.8								
258.1	180.1								
258.3	177.8								
258.3	174.1								
258.4	171.8								
258.4	170.3								
258.5	168.7								
258.6	166.5								
258.6	161.9								
258.7	161.2								
258.7	160.4								
258.7	160.4								
258.8	161.2								
258.8	162.7								
258.9	167.2								
258.9	167.2								
258.9	171.8								
259.1	173.3								
259.2	173.3								
259.3	172.5								
259.4	167.2								
259.4	165.7								
259.4	165.7								
259.4	164.2								
259.6	161.9								
259.7	162.7								
259.9	168.7								
260.2	168								
260.2	165.7								
260.3	161.9								
260.4	158.9								
260.6	155.1								
260.8	154.3								
260.9	158.1								
260.9	162.7								
260.9	165.7								
261	166.5								
261.2	161.2								
261.4	158.9								
261.5	156.6								
261.8	151.3								
261.8	150.5								
262	151.3								
262.1	155.1								
262.1	158.1								
262.1	159.6								
262.3	162.7								
262.4	168								
262.5	173.3								
262.6	175.6								
262.7	176.3								
262.8	177.1								
262.9	177.8								
263.1	175.6								
263.3	174.1								
263.4	172.5								
263.4	169.5								
263.4	165								
263.5	162.7								
263.5	159.6								
263.6	155.1								
263.7	152.1								
263.8	150.5								
264	147.5								
264.2	150.5								
264.2	151.3								
264.2	155.1								
264.3	158.9								
264.3	163.4								
264.4	164.2								
264.4	165.7								
264.7	166.5								
264.9	161.9								
264.9	161.9								
264.9	159.6								
265.3	158.9								
265.5	158.9								
265.5	159.6								
265.7	162.7								
265.7	166.5								
265.7	165.7								
265.7	162.7								
265.7	161.9								
265.7	158.9								
265.8	158.1								
265.8	157.4								
266	155.9								
266.2	154.3								
266.5	158.9								
266.6	161.9								
266.8	165								
267	165.7								
267	170.3								
267	174.8								
267.1	181.6								
267.2	183.9								
267.2	185.4								
267.3	189.2								
267.3	190.7								
267.3	191.5								
267.4	186.9								
267.3	180.1								
267.3	177.1								
267.4	174.1								
267.5	173.3								
267.5	171								
267.5	167.2								
267.5	166.5								
267.7	161.9								
267.7	161.9								
267.7	158.9								
267.8	149.8								
267.8	146								
267.8	141.4								
267.9	136.9								
267.9	136.9								
268	135.4								
268.2	136.1								
268.3	136.1								
268.4	133.1								
268.4	127.8								
268.4	124.8								
268.4	124.8								
268.5	121.7								
268.5	117.9								
268.6	114.9								
268.6	111.9								
268.6	108.8								
268.6	105.8								
268.6	101.3								
268.7	99								
268.8	95.2								
268.9	89.1								
269	86.8								
269.1	86.8								
269.2	86.8								
269.1	82.3								
269.2	85.3								
269.4	95.9								
269.4	107.3								
269.5	111.9								
269.5	118.7								
269.7	129.3								
269.7	135.4								
269.7	137.7								
269.7	138.4								
269.8	140.7								
269.9	144.5								
270.1	146.8								
270.3	149.8								
270.4	155.9								
270.4	155.9								
270.5	156.6								
270.8	158.1								
270.8	157.4								
270.8	156.6								
271	152.8								
271	153.6								
271.1	160.4								
271.2	165.7								
271.3	168.7								
271.4	172.5								
271.5	176.3								
271.6	178.6								
271.7	178.6								
272	176.3								
272.2	173.3								
272.3	176.3								
272.4	177.1								
272.4	179.4								
272.4	181.6								
272.5	184.7								
272.6	186.2								
272.6	186.9								
272.6	186.9								
272.7	186.9								
272.7	186.2								
272.7	185.4								
272.8	182.4								
272.9	180.1								
273	178.6								
273	174.8								
273	171								
273	170.3								
273.2	167.2								
273.3	165.7								
273.4	164.2								
273.6	165.7								
273.7	171								
273.7	175.6								
273.7	177.1								
274	177.1								
274.1	177.1								
274.1	176.3								
274.2	174.1								
274.3	171.8								
274.4	170.3								
274.5	169.5								
274.6	169.5								
274.7	171								
274.7	171								
274.7	171								
274.8	168								
274.9	165								
275.1	161.9								
275.1	161.9								
275.1	163.4								
275.3	168								
275.5	173.3								
275.6	178.6								
275.7	180.1								
275.7	180.9								
275.7	182.4								
275.7	185.4								
275.9	186.9								
275.9	187.7								
276	188.5								
276	189.2								
276.1	190								
276.1	190.7								
276.1	191.5								
276.2	192.3								
276.2	193								
276.2	194.5								
276.4	193								
276.4	192.3								
276.4	188.5								
276.4	184.7								
276.5	181.6								
276.5	179.4								
276.5	176.3								
276.5	171.8								
276.6	170.3								
276.7	169.5								
276.7	168.7								
276.9	168.7								
277.2	168.7								
277.2	168.7								
277.3	169.5								
277.4	168.7								
277.4	166.5								
277.6	162.7								
278	160.4								
277.9	160.4								
277.9	164.2								
277.9	165								
277.9	165								
278	165.7								
278.1	166.5								
278.2	165.7								
278.2	165								
278.3	165								
278.4	168								
278.4	171.8								
278.4	174.8								
278.5	177.1								
278.5	177.8								
278.6	178.6								
278.7	180.1								
278.7	180.9								
278.9	182.4								
279	183.2								
279	181.6								
279.1	177.8								
279.1	177.1								
279.2	175.6								
279.3	173.3								
279.3	171								
279.4	170.3								
279.4	170.3								
279.4	168								
279.6	168								
279.7	166.5								
279.8	166.5								
279.8	168								
279.9	168								
280	171								
280.1	173.3								
280.1	175.6								
280.2	177.8								
280.3	177.8								
280.3	174.8								
280.3	172.5								
280.3	170.3								
280.3	169.5								
280.4	167.2								
280.6	163.4								
280.6	161.2								
280.5	159.6								
280.5	158.9								
280.6	158.1								
280.6	158.1								
280.8	160.4								
280.9	163.4								
280.9	167.2								
280.9	170.3								
280.9	171								
280.9	174.1								
280.9	175.6								
280.9	176.3								
280.9	177.1								
280.9	177.1								
280.9	177.8								
281	177.8								
281	177.8								
281	177.8								
281.1	174.8								
281.1	174.1								
281.2	174.1								
281.2	174.1								
281.3	174.1								
281.3	177.1								
281.4	177.8								
281.4	178.6								
281.5	181.6								
281.6	183.2								
281.7	183.2								
281.8	181.6								
281.9	179.4								
282	177.8								
282.2	177.8								
282.2	180.9								
282.3	183.2								
282.4	183.2								
282.4	183.2								
282.5	181.6								
282.5	178.6								
282.6	176.3								
282.7	174.1								
282.9	173.3								
282.9	172.5								
282.9	171.8								
283	170.3								
283.2	170.3								
283.2	174.1								
283.2	177.8								
283.2	178.6								
283.3	181.6								
283.3	184.7								
283.5	190								
283.5	190.7								
283.6	192.3								
283.6	193								
283.7	193								
283.8	191.5								
283.8	187.7								
283.8	183.9								
283.9	180.9								
284	178.6								
284.2	176.3								
284.2	176.3								
284.4	176.3								
284.5	179.4								
284.6	178.6								
284.6	175.6								
284.8	169.5								
284.8	167.2								
284.9	164.2								
284.9	162.7								
285.1	158.9								
285.1	156.6								
285.1	155.1								
285.1	152.1								
285.2	152.1								
285.2	148.3								
285.3	146								
285.3	145.2								
285.4	143								
285.5	144.5								
285.7	149.8								
285.7	149.8								
285.8	153.6								
285.8	158.9								
285.8	161.2								
285.8	164.2								
285.9	169.5								
286	172.5								
286	174.1								
286.1	177.1								
286.2	179.4								
286.3	181.6								
286.4	181.6								
286.6	181.6								
286.7	181.6								
286.9	174.1								
286.9	172.5								
287	171								
287.1	173.3								
287.2	174.8								
287.4	178.6								
287.4	180.9								
287.4	182.4								
287.4	180.1								
287.4	180.1								
287.6	176.3								
287.9	174.1								
288	171								
288	171.8								
288	172.5								
288.1	176.3								
288.3	174.8								
288.3	172.5								
288.5	171								
288.6	170.3								
288.6	170.3								
288.8	173.3								
289	174.1								
289.1	174.8								
289.2	174.8								
289.3	174.8								
289.4	174.8								
289.5	171.8								
289.6	170.3								
289.7	168								
289.8	168								
290	170.3								
290.1	174.1								
290.2	177.1								
290.2	177.8								
290.3	175.6								
290.3	174.1								
290.4	171.8								
290.5	170.3								
290.6	168								
290.6	167.2								
290.6	165.7								
290.8	165.7								
290.9	166.5								
290.9	166.5								
291	165.7								
291	165.7								
291.1	165.7								
291.1	164.2								
291.1	162.7								
291.2	161.2								
291.2	160.4								
291.2	158.1								
291.2	157.4								
291.2	156.6								
291.2	155.1								
291.3	152.8								
291.4	150.5								
291.4	148.3								
291.5	145.2								
291.5	142.2								
291.5	139.9								
291.6	136.9								
291.6	136.9								
291.7	136.1								
291.8	136.1								
291.8	137.7								
291.9	138.4								
292	141.4								
292	146.8								
292	150.5								
292.1	154.3								
292.2	157.4								
292.3	161.9								
292.3	162.7								
292.4	164.2								
292.4	166.5								
292.5	168.7								
292.6	172.5								
292.6	176.3								
292.7	177.1								
292.8	178.6								
292.9	179.4								
293	182.4								
293.2	186.2								
293.4	189.2								
293.6	188.5								
293.7	184.7								
293.7	183.9								
293.7	180.9								
293.9	177.1								
293.9	174.8								
294	171.8								
294.1	168.7								
294.1	167.2								
294.3	165.7								
294.3	165								
294.4	164.2								
294.6	167.2								
294.6	168								
294.7	171								
294.8	174.8								
294.9	178.6								
294.9	180.9								
294.9	181.6								
295	183.2								
295	183.9								
295	184.7								
295.1	184.7								
295.2	182.4								
295.2	179.4								
295.2	178.6								
295.2	178.6								
295.4	177.8								
295.6	177.1								
295.7	177.1								
295.7	176.3								
295.7	175.6								
295.7	174.1								
295.8	171.8								
295.9	170.3								
296	168.7								
296	165.7								
296.1	163.4								
296.1	163.4								
296.2	162.7								
296.3	161.9								
296.4	164.2								
296.4	165								
296.5	168.7								
296.7	172.5								
296.7	174.8								
296.7	175.6								
296.7	177.8								
296.7	181.6								
296.7	184.7								
296.7	185.4								
296.7	187.7								
296.8	186.2								
296.8	185.4								
296.9	183.2								
296.9	183.2								
297.2	184.7								
297.2	185.4								
297.3	185.4								
297.3	183.2								
297.4	180.9								
297.4	177.8								
297.4	176.3								
297.4	175.6								
297.5	175.6								
297.5	176.3								
297.6	179.4								
297.6	182.4								
297.8	184.7								
297.8	185.4								
297.8	185.4								
297.9	183.2								
298	180.9								
298.2	181.6								
298.3	183.2								
298.3	183.2								
298.4	184.7								
298.4	187.7								
298.5	189.2								
298.5	190.7								
298.6	193								
298.6	196.8								
298.6	199.1								
298.6	200.6								
298.6	202.1								
298.7	206.7								
298.7	206.7								
298.7	206.7								
298.8	205.9								
298.8	202.9								
298.9	199.8								
298.9	196.8								
298.9	193.8								
298.9	193								
298.9	191.5								
299	189.2								
299	187.7								
299	186.2								
299	185.4								
299	184.7								
299.1	183.2								
299.1	180.9								
299.1	178.6								
299.2	175.6								
299.3	174.1								
299.3	176.3								
299.4	179.4								
299.4	180.9								
299.5	180.9								
299.7	180.1								
299.7	179.4								
299.8	177.8								
299.8	174.8								
299.9	173.3								
300	170.3								
300.1	168.7								
300.1	168.7								
300.2	171								
300.3	174.1								
300.5	175.6								
300.5	176.3								
300.6	177.1								
300.6	177.1								
300.5	177.1								
300.5	177.1								
300.4	177.1								
300.3	177.8								
300.3	177.8								
300.3	177.8								
300.3	177.8								
300.4	177.8								
300.4	177.8								
300.5	177.1								
300.5	177.1								
300.5	175.6								
300.1	168								
300.2	171								
300.3	174.1								
300.5	177.1								
300.5	177.8								
300.5	177.8								
300.7	178.6								
300.7	177.8								
300.7	173.3								
300.8	171								
300.8	170.3								
301	173.3								
301.1	174.1								
301.2	177.1								
301.3	180.1								
301.4	183.9								
301.6	184.7								
301.7	184.7								
301.8	182.4								
302	180.9								
302	180.1								
302	178.6								
302.2	175.6								
302.3	173.3								
302.4	171								
302.4	171								
302.6	171.8								
302.7	175.6								
302.8	177.8								
303	176.3								
303.1	176.3								
303.1	179.4								
303.1	180.1								
303.2	182.4								
303.2	183.9								
303.3	185.4								
303.3	185.4								
303.5	184.7								
303.5	181.6								
303.5	179.4								
303.5	177.8								
303.5	175.6								
303.6	172.5								
303.6	171								
303.7	168								
303.8	166.5								
303.8	165.7								
303.9	165.7								
304.1	168.7								
304.1	169.5								
304.1	172.5								
304.2	173.3								
304.2	171								
304.2	167.2								
304.2	167.2								
304.3	165								
304.4	162.7								
304.5	164.2								
304.5	168								
304.5	172.5								
304.5	173.3								
304.7	177.1								
304.8	178.6								
304.9	176.3								
304.9	173.3								
305	172.5								
305	170.3								
305.2	169.5								
305.3	170.3								
305.4	172.5								
305.5	175.6								
305.6	178.6								
305.7	180.9								
305.8	181.6								
305.8	181.6								
305.9	180.1								
306	178.6								
306.2	175.6								
306.2	175.6								
306.3	174.1								
