Depth	Gamma								
26.8	89.9								
26.8	88.4								
26.9	87.6								
26.9	86.1								
27	85.3								
27.1	85.3								
27.2	89.1								
27.3	93.7								
27.4	97.5								
27.5	106.6								
27.5	107.3								
27.5	111.1								
27.5	114.9								
27.5	114.9								
27.5	117.9								
27.6	118.7								
27.7	125.5								
27.7	130.1								
27.8	134.6								
27.9	142.2								
28	143.7								
28.2	144.5								
28.3	144.5								
28.4	141.4								
28.4	135.4								
28.6	130.8								
28.7	127.8								
28.8	126.3								
28.8	123.2								
28.8	120.2								
28.9	118.7								
29	115.7								
29	112.6								
29.1	107.3								
29.1	102								
29.3	96.7								
29.3	92.9								
29.3	88.4								
29.4	85.3								
29.4	83.8								
29.5	81.5								
29.6	80.8								
29.8	81.5								
29.9	85.3								
30	85.3								
30.1	85.3								
30.3	84.6								
30.3	84.6								
30.4	83.1								
30.5	80.8								
30.5	77.7								
30.6	76.2								
30.6	73.2								
30.7	69.4								
30.8	68.6								
30.9	68.6								
31	70.2								
31	70.9								
31	71.7								
31.1	72.4								
31.1	72.4								
31.2	69.4								
31.3	67.1								
31.3	67.1								
31.4	65.6								
31.4	65.6								
31.6	64.9								
31.6	69.4								
31.6	70.2								
31.7	74								
31.8	79.3								
31.9	80								
32	83.8								
32.1	84.6								
32.1	85.3								
32.2	84.6								
32.3	83.1								
32.4	80								
32.5	78.5								
32.6	78.5								
32.7	80.8								
33	83.1								
33	79.3								
33.1	79.3								
33.1	79.3								
33.2	83.8								
33.3	86.8								
33.5	89.1								
33.8	89.9								
33.9	92.2								
34.2	95.2								
34.2	95.9								
34.4	96.7								
34.4	96.7								
34.6	96.7								
34.6	95.2								
34.7	94.4								
34.8	92.9								
34.9	92.2								
34.9	90.6								
35	88.4								
35.1	86.1								
35.1	85.3								
35.2	83.8								
35.2	82.3								
35.4	79.3								
35.4	78.5								
35.5	75.5								
35.6	75.5								
35.6	73.2								
35.6	72.4								
35.6	69.4								
35.7	65.6								
35.7	64.1								
35.8	62.6								
36.1	64.9								
36.3	66.4								
36.5	69.4								
36.6	70.9								
36.6	71.7								
36.7	74								
36.7	74								
36.8	73.2								
36.8	71.7								
36.9	70.2								
36.9	69.4								
37	66.4								
37	66.4								
37.2	64.1								
37.3	63.3								
37.3	62.6								
37.3	62.6								
37.4	65.6								
37.4	66.4								
37.5	68.6								
37.6	72.4								
37.6	74.7								
37.6	77								
37.6	80								
37.8	82.3								
38	80								
38	80								
38.1	77.7								
38.2	77.7								
38.3	79.3								
38.3	80.8								
38.4	83.1								
38.5	85.3								
38.6	88.4								
38.7	90.6								
38.8	92.9								
38.9	95.9								
38.9	96.7								
38.9	97.5								
38.9	98.2								
39	98.2								
39	99								
39	100.5								
39.1	102								
39.1	102								
39.2	100.5								
39.2	98.2								
39.3	94.4								
39.3	93.7								
39.4	91.4								
39.4	89.1								
39.5	86.1								
39.5	84.6								
39.6	83.1								
39.7	82.3								
39.8	79.3								
39.8	78.5								
39.8	77								
39.9	75.5								
39.9	75.5								
40	74.7								
40	74.7								
40.1	74.7								
40.1	74.7								
40.2	75.5								
40.3	76.2								
40.3	79.3								
40.4	80								
40.4	80.8								
40.5	80.8								
40.6	78.5								
40.6	78.5								
40.7	77								
40.9	74								
41	72.4								
41.3	72.4								
41.5	72.4								
41.7	76.2								
41.9	79.3								
41.9	80								
42	81.5								
42.1	83.1								
