Depth	Gamma
74.5	71.3
74.6	72.4
74.8	74
74.9	76.1
75	77.2
75.1	77.2
75.3	76.7
75.4	75.1
75.6	72.9
75.8	70.7
75.7	70.2
75.7	69.7
75.7	67.5
75.8	65.9
75.8	65.9
75.9	65.9
76	68.6
76	69.1
76.1	71.8
76.2	72.9
76.3	75.6
76.4	75.6
76.4	74.5
76.5	72.9
76.5	71.8
76.6	71.8
76.7	72.9
76.7	72.9
76.8	73.4
76.9	71.8
77	71.3
77	70.2
77.2	69.7
77.3	69.1
77.6	68.6
77.8	69.7
77.8	70.7
77.9	72.9
78.1	76.1
78.1	76.1
78.2	78.3
78.3	78.8
78.4	78.8
78.5	79.4
78.7	77.2
78.7	76.7
78.7	75.6
78.8	72.4
78.9	71.8
79.1	71.3
79.1	70.2
79.3	69.1
79.3	67.5
79.3	66.4
79.4	65.3
79.5	63.2
79.5	61.5
79.6	61.5
79.8	62.6
80	66.4
80	66.4
80.1	68
80.2	69.7
80.3	72.9
80.3	72.9
80.4	75.1
80.5	76.7
80.6	76.1
80.6	73.4
80.8	71.3
80.9	69.7
80.9	69.1
81	68.6
81.1	69.7
81.2	71.8
81.4	70.2
81.7	69.1
81.7	69.1
81.8	71.3
82	75.6
82.1	77.2
82.1	78.8
82.2	79.9
82.3	79.9
82.4	79.9
82.6	78.3
82.7	74.5
82.8	70.2
82.9	67
83.1	64.8
83.1	64.2
83.2	63.2
83.3	63.2
83.4	67
83.6	68.6
83.7	69.7
83.9	70.2
84	68.6
84	70.7
84	71.3
84.2	72.4
84.3	70.7
84.6	67.5
84.8	68
85	70.2
85	70.7
85.1	72.9
85.1	74.5
85.3	76.7
85.3	77.8
85.3	78.3
85.4	79.4
85.6	77.8
85.7	74.5
85.7	71.8
85.8	70.7
85.9	68
86.3	65.3
86.4	68
86.5	73.4
86.5	74
86.7	75.6
86.7	78.8
86.7	79.4
86.8	80.5
87	80.5
87.1	79.4
87.2	79.4
87.2	76.7
87.3	74.5
87.3	72.9
87.4	69.7
87.6	67.5
87.8	67
88	65.3
88.3	65.3
88.4	68
88.4	70.2
88.6	75.1
88.6	77.8
88.9	79.9
89	80.5
89.1	84.3
89.2	85.3
89.2	85.3
89.2	85.9
89.4	84.3
89.4	83.2
89.5	83.2
89.7	86.4
89.8	83.7
89.8	83.7
89.8	83.7
90	88.6
90.1	87
90.2	82.6
90.2	79.9
90.3	78.8
90.4	78.8
90.6	80.5
90.9	77.2
90.9	76.1
90.9	75.1
90.9	72.4
91	70.7
91	69.7
91	69.1
91	68.6
91.1	67
91.2	65.3
91.4	64.2
91.5	65.9
91.6	67.5
91.8	71.3
92	75.6
92	79.4
92.1	81.6
92.2	85.9
92.2	87.5
92.3	89.1
92.6	89.7
92.8	85.3
92.9	82.1
92.9	78.3
92.9	76.7
93.1	75.6
93.2	76.7
93.2	79.9
93.2	79.4
93.2	78.3
93.3	76.7
93.4	75.1
93.6	76.1
93.7	79.4
93.7	79.9
93.8	80.5
93.9	79.9
94	78.8
94.1	78.8
94.1	78.3
94.2	78.3
94.3	76.1
94.4	74
94.4	73.4
94.4	71.8
94.5	71.3
94.6	70.2
94.7	69.1
94.8	70.7
94.9	74
94.9	77.2
95	79.4
95	81.6
95.1	83.7
95.1	84.8
95.2	84.8
95.2	84.8
95.4	84.3
95.7	84.8
95.8	83.2
96	81.6
96	81
96	81
96.1	82.1
96.2	82.1
96.2	82.1
96.3	79.9
96.4	78.3
96.6	78.3
96.6	78.8
96.7	79.4
96.8	79.4
96.9	77.2
96.9	77.2
97.1	76.1
97.1	75.1
97.2	74.5
97.4	74
97.6	77.2
97.6	77.2
97.8	81
97.8	82.1
97.9	84.3
98	82.6
98	79.4
98	79.4
98.1	79.4
98.2	81
98.4	84.3
98.4	84.3
98.5	79.9
98.7	81.6
98.8	83.2
98.9	83.7
99	83.7
99	82.6
99.2	81.6
99.3	81
99.4	79.9
99.6	82.1
99.8	83.7
99.8	84.8
99.8	86.4
100	87
100	84.8
100.2	84.8
100.2	84.8
100.3	85.9
100.4	87.5
100.5	86.4
100.6	87.5
100.6	87.5
100.7	88.6
100.7	89.1
100.7	87.5
100.7	86.4
100.7	84.3
100.9	83.2
101	81.6
101.2	81
101.2	81
101.3	81.6
101.3	83.2
101.3	83.2
101.4	83.2
101.5	83.2
101.5	83.2
101.6	83.7
101.6	83.7
101.6	82.6
101.7	81.6
101.8	79.9
101.8	79.4
102	78.8
102.1	79.4
102.2	81.6
102.4	84.3
102.5	85.3
102.5	85.3
102.7	83.2
102.8	82.6
103.1	84.8
103.2	87.5
103.3	87
103.4	85.3
103.5	82.1
103.7	78.8
103.8	76.7
103.9	75.1
104.1	74.5
104.4	75.1
104.5	75.1
104.6	76.1
104.8	76.7
104.9	77.2
105	75.6
105.1	74.5
105.2	73.4
105.5	74
105.6	77.2
105.7	81
105.7	81
105.8	83.7
105.9	84.8
105.9	85.3
106	87.5
106.1	89.1
106.1	89.1
106.2	87.5
106.3	87.5
106.4	91.3
106.4	92.4
106.4	94
106.4	94
106.6	91.8
106.8	90.2
106.9	89.1
106.9	88
106.9	85.9
106.9	85.3
106.9	84.3
107.1	83.2
107.3	87
107.3	88.6
107.3	88.6
107.4	87.5
107.5	87
107.5	89.1
107.6	88.6
107.6	85.9
107.6	85.3
107.7	84.8
107.7	84.8
107.8	85.3
108	89.7
108	90.2
108.2	89.1
108.2	88
108.3	85.9
108.4	83.7
108.6	82.1
108.7	81
108.8	80.5
108.9	78.8
109	78.8
109.1	77.2
109.2	77.2
109.2	77.2
109.3	77.2
109.5	77.2
109.5	77.2
109.7	77.8
110	79.9
110.1	82.1
110.2	84.3
110.2	85.3
110.2	85.9
110.4	85.9
110.6	85.9
110.7	83.7
110.8	82.1
110.9	82.1
111	84.8
111.1	84.8
111.2	82.1
111.3	80.5
111.4	82.1
111.5	83.2
111.7	84.8
111.9	87.5
111.9	89.1
111.9	91.8
112.1	92.9
112.3	92.9
112.3	94
112.3	96.2
112.3	96.2
112.3	96.7
112.3	97.8
112.4	102.6
112.4	103.2
112.6	104.3
112.7	109.1
112.7	109.1
112.8	105.3
112.9	100.5
113	96.7
113	96.2
113	94
113	91.8
113	91.3
113	88.6
113	86.4
113.1	85.9
113.1	83.2
113.1	82.1
113.2	80.5
113.2	79.4
113.5	79.4
113.6	78.3
113.6	77.8
113.7	76.7
113.8	75.6
113.9	74.5
114	73.4
114.1	72.9
114.1	72.4
114.1	72.4
114.3	72.4
114.5	76.1
114.6	78.8
114.6	78.8
114.7	79.9
114.8	79.4
114.8	78.3
115	76.7
115.1	76.1
115.2	76.1
115.5	78.3
115.5	81.6
115.8	79.4
115.9	77.8
115.9	77.2
116	75.6
116.3	71.8
116.4	71.3
116.7	70.7
116.7	70.2
116.7	69.1
116.7	69.1
