Depth	Gamma
184	98.9
184.4	108.1
184.9	104.8
185.1	100
185.1	98.9
185.4	93
185.5	92.5
185.6	88.7
185.6	88.2
185.6	86.1
185.7	83.4
186.2	79.6
186.7	78
186.7	78
186.8	86.1
187.2	93.6
187.5	97.9
187.8	98.9
188.2	95.2
188.6	86.6
188.6	86.1
188.9	81.2
189.3	93.6
189.7	104.8
190	103.2
190.3	109.7
190.6	110.2
190.9	104.8
191.1	101.6
191.4	103.2
191.7	108.1
192.2	107
192.2	107.5
192.7	110.7
192.7	110.7
193	108.6
193.2	103.8
193.7	96.2
194	89.8
194.3	87.7
194.5	93
195.2	84.4
195.5	83.9
195.5	85
195.6	86.6
195.7	85
195.9	83.4
196.2	88.2
196.6	88.7
197	98.9
197.4	94.1
197.7	90.3
198.3	94.6
198.4	96.8
199.3	94.6
199.7	103.8
200.3	97.3
200.2	91.4
200.4	87.7
200.7	89.3
200.7	90.9
201	101.6
201.5	100.5
201.7	101.1
202.1	102.7
202.1	101.6
202.3	95.2
202.3	95.2
202.8	101.6
203.2	108.6
203.4	111.8
203.8	115
204.1	114.5
204.6	125.8
205.2	123.6
205.3	123.1
205.7	120.9
205.7	119.9
206.1	116.6
206.1	106.4
206.7	94.6
207.2	111.8
207.2	112.3
207.4	111.8
207.8	107.5
208.4	104.8
208.8	122
209.2	123.1
209.7	118.2
209.7	117.7
210.1	122.5
210.7	115.6
211	126.3
211.4	128.4
211.8	127.4
212.1	129
212.1	128.4
212.5	125.8
213.1	134.9
213.8	130.1
214	132.7
214	132.7
214.5	130.1
214.6	125.2
214.6	125.2
215.1	127.4
215.4	125.2
215.9	125.2
216.3	122
216.4	123.1
216.6	126.3
216.9	116.6
217	108.1
217.3	103.2
217.3	103.2
217.6	103.2
217.9	100.5
217.9	100.5
218.8	108.1
219.2	107
219.6	102.2
220.1	109.1
220.4	104.8
220.4	104.3
220.6	101.1
221	107
221.5	101.1
221.5	100.5
221.9	106.4
222.2	103.2
222.3	103.2
222.7	98.4
222.7	97.9
223.2	85
223.4	105.9
224	123.1
224.3	110.2
224.3	109.1
224.6	98.9
224.9	100.5
225.4	92
225.4	96.2
225.6	83.4
225.7	78.5
225.7	76.9
226	72.1
226	71.6
226.5	72.1
226.5	72.6
226.9	86.6
227.4	91.4
227.9	93.6
228.4	87.7
228.8	88.7
229.5	104.3
229.7	106.4
230.3	105.9
230.9	110.2
231.4	117.7
231.7	121.5
231.7	121.5
232.2	120.4
232.6	128.4
232.7	129
232.7	129
233	132.7
233.2	125.8
233.5	116.1
233.5	115.6
233.8	117.2
233.9	119.3
234.1	121.5
234.1	120.9
234.5	111.3
234.6	105.9
235	103.8
235	103.8
235.7	119.3
236	115.6
236.3	110.2
237	122
237.2	120.9
237.8	125.2
238	121.5
238	119.9
238.1	116.1
238.6	127.4
239.1	131.7
239.5	137.6
239.6	131.1
239.6	130.6
240	124.1
240.1	123.6
240.3	116.6
240.3	116.6
240.7	124.1
241	123.6
241.3	114.5
241.5	117.7
241.5	114.5
242.2	122
242.7	116.6
242.7	116.1
243.2	122.5
243.7	122.5
244.2	122.5
244.5	114.5
245.1	122
245.5	126.3
245.8	119.9
246.3	120.4
246.5	115
247	119.9
247	120.9
247.3	125.2
247.9	128.4
248.3	126.3
248.5	113.4
248.9	126.3
249.4	129.5
249.7	117.7
250	114.5
250.2	121.5
250.8	120.4
251.1	116.6
251.5	128.4
251.7	122
252.1	115.6
252.4	122.5
252.8	130.1
252.9	121.5
253.3	118.8
253.7	132.7
254.2	124.7
254.3	124.1
254.8	130.1
255.1	120.9
255.4	109.1
255.9	120.4
256.1	128.4
256.3	119.3
256.5	126.3
256.9	117.2
257	114
257.3	115
257.7	124.7
258.3	119.3
258.8	125.8
259	115.6
259.4	119.3
259.7	115
259.7	115
260	108.1
260.4	108.1
260.7	127.4
260.9	126.8
261.3	120.4
261.9	123.6
262.4	121.5
262.8	115.6
263.1	114
263.3	108.6
263.6	102.7
264	101.1
264.4	123.1
264.7	127.4
265.1	117.2
265.5	130.6
265.8	132.2
266.1	126.8
266.4	122.5
266.9	120.4
267.3	129
267.6	126.3
267.6	126.3
267.8	120.4
268.2	116.6
268.5	129.5
268.7	133.8
269	129
269.2	130.1
269.5	129
269.7	122
270.5	130.6
270.8	152.6
271.3	141.9
271.6	136
271.9	127.9
271.9	126.8
272.1	123.1
272.1	123.1
272.4	134.3
272.8	132.2
273.1	127.9
273.8	132.7
274	145.1
274.4	141.3
274.5	132.2
274.5	132.2
275	134.9
275.5	142.9
275.7	153.1
276	139.7
276.2	136.5
276.7	138.1
276.9	136.5
277.4	125.8
277.7	120.4
278	122.5
278.2	127.9
278.5	127.9
278.8	122
279.2	125.8
279.5	129
280	133.8
280	133.3
280.3	133.3
280.4	137
280.4	137
280.6	133.8
280.7	132.7
280.9	127.4
280.9	125.2
281	119.3
281.2	119.9
281.2	121.5
281.6	125.8
281.7	122
281.8	120.9
282.2	116.1
282.2	117.2
282.3	119.9
282.3	119.3
282.7	115
282.9	126.3
283.2	131.1
283.3	131.1
283.6	120.4
283.9	126.8
284.6	126.3
284.6	132.2
284.9	144.5
285.1	143.5
285.5	134.9
285.6	134.3
285.9	131.1
286.2	136.5
286.2	136
286.5	134.3
287.2	130.1
287.4	130.1
287.4	130.1
287.7	127.4
288	131.7
288.3	133.8
288.5	128.4
288.8	132.2
289	127.9
289.4	133.3
289.8	126.3
290.2	130.6
290.5	133.3
291	128.4
291.1	125.2
291.3	129.5
291.4	129.5
292.2	127.4
292.5	124.7
292.5	120.9
