Depth	Gamma
54.2	87.9
54.2	87.9
54.2	86.3
54.2	85.3
54.2	83.8
54.2	81.2
54.2	80.2
54.2	78.6
54.3	77.6
54.4	79.1
54.5	80.2
54.5	81.7
54.6	82.2
54.6	80.7
54.7	80.7
54.8	81.7
55	83.2
55	83.8
55.2	83.8
55.2	84.3
55.4	84.8
55.5	85.3
55.6	85.3
55.7	84.8
55.7	83.2
55.9	82.2
55.9	81.7
56	80.7
56.1	77.1
56.1	74
56.3	74
56.4	76.1
56.4	78.1
56.5	79.6
56.6	79.6
56.8	80.7
57	82.2
57.4	85.3
57.5	86.8
57.6	88.9
57.7	90.4
57.8	90.4
57.8	90.4
57.9	87.3
57.9	85.8
57.9	84.3
58	82.2
58.1	80.7
58.2	79.6
58.3	77.6
58.4	74.5
58.5	73.5
58.6	76.1
58.7	80.2
58.9	84.8
58.9	85.3
59	88.4
59	88.9
59.1	93.5
59.1	97.1
59.1	98.6
59.1	99.7
59.2	97.6
59.3	94.5
59.3	93.5
59.4	90.9
59.4	90.9
59.5	89.9
59.6	89.4
59.7	89.4
59.9	89.4
60	89.4
60.2	87.9
60.4	87.9
60.5	87.9
60.6	87.3
60.8	86.8
60.9	87.3
61	87.3
61.2	87.3
61.2	87.3
61.2	87.3
61.4	85.8
61.4	84.8
61.5	84.3
61.6	84.3
61.7	85.3
61.7	88.9
61.8	89.4
61.8	89.9
61.9	90.9
62.1	90.9
62.3	89.4
62.3	88.9
62.5	88.4
62.6	88.4
62.6	88.4
62.6	88.4
62.9	89.4
63	90.4
63.1	90.4
63.3	90.4
63.4	90.4
63.4	90.4
63.4	90.4
63.5	90.4
63.5	89.9
63.7	89.9
63.8	89.9
64	89.9
64.2	90.4
64.3	90.4
64.3	91.4
64.5	93.5
64.5	95.5
64.6	99.1
64.6	99.7
64.7	102.7
64.7	103.8
64.7	103.8
64.9	103.2
64.8	101.2
64.8	100.2
64.8	97.6
64.9	96.6
64.9	94.5
64.9	94.5
64.9	91.4
64.9	90.9
65	89.9
65.2	92
65.2	94.5
65.2	95.5
65.2	96.1
65.3	97.1
65.4	98.1
65.4	98.1
65.5	98.1
65.5	98.1
65.5	97.6
65.6	96.1
65.7	94.5
65.7	93.5
65.8	92.5
65.9	92
66	92.5
66.1	92.5
66.2	92.5
66.3	92.5
66.3	92
66.4	92
66.4	92
66.5	93
66.5	95.5
66.6	98.6
66.6	100.7
66.6	100.7
66.7	100.7
66.8	99.1
66.9	97.1
67	94.5
67.1	90.9
67.1	87.9
67.3	86.3
67.4	86.3
67.4	85.3
67.5	84.8
67.6	84.8
67.7	85.3
67.8	84.8
67.9	83.8
68	81.2
68.1	80.2
68.2	79.1
68.4	78.1
68.5	78.1
68.6	77.6
68.7	78.1
68.7	79.1
68.8	79.6
68.8	81.2
68.8	82.7
68.8	84.3
69	85.8
69.1	89.9
69.2	92
69.2	93.5
69.2	93.5
69.2	95.5
69.3	95.5
69.3	95.5
69.5	95
69.6	96.6
69.8	99.1
69.9	101.2
69.9	103.8
69.9	104.8
70	105.3
70	103.2
70.1	102.2
70.1	98.6
70.2	97.1
70.2	95
70.2	94
70.3	90.9
70.3	90.4
70.4	87.9
70.4	86.8
70.5	85.8
70.7	86.3
70.7	86.8
70.9	89.4
70.9	89.9
71	90.9
71.2	93.5
71.2	96.1
71.4	97.6
71.4	96.1
71.4	96.1
71.4	95.5
71.6	96.6
71.7	96.6
71.7	95
71.7	92.5
71.8	91.4
71.9	87.3
71.9	87.9
71.9	86.8
71.9	85.8
72	83.2
72.1	82.7
72.1	82.7
72.2	84.8
72.3	86.3
72.5	88.4
72.5	88.9
72.7	90.4
72.8	91.4
73	93
73.1	93.5
73.1	93
73.2	90.4
73.2	87.9
73.2	87.3
73.3	85.3
73.4	82.7
73.5	81.7
73.7	83.2
73.8	85.3
73.8	85.8
73.9	88.4
73.9	88.9
74	90.9
74.1	91.4
74.3	90.4
74.3	89.4
74.3	88.4
74.4	88.9
74.6	90.9
74.6	93
74.8	93.5
74.8	92.5
74.8	89.4
74.8	88.4
75.3	90.9
75.4	93
75.5	95
75.6	96.1
75	89.4
75	89.4
75.1	90.4
75.2	92.5
75.3	93
75.4	95
75.4	95
75.6	96.6
75.9	94.5
75.9	93
75.9	92.5
75.9	90.4
75.9	89.4
75.9	87.3
75.9	86.8
76	84.8
76	83.2
76.1	81.2
76.2	80.7
76.2	80.7
76.3	83.8
76.3	85.8
76.3	85.8
76.4	88.4
76.6	92
76.7	97.6
76.7	100.7
76.7	103.2
76.8	103.8
76.9	105.8
76.9	106.3
77	107.9
77	107.9
77	107.9
77	106.8
77.1	104.8
77.1	103.2
77.2	100.7
77.2	97.6
77.3	95
77.4	94
77.5	95.5
77.6	96.6
77.8	96.6
77.8	95
77.9	94
78	92.5
78.1	92.5
78.1	92
78.2	92
78.3	94
78.3	95
78.4	96.6
78.5	98.6
78.5	100.2
78.7	101.7
78.8	99.7
78.8	95.5
78.9	94
79.1	94.5
79.1	95
79.2	95.5
79.3	95.5
79.3	94
79.4	92
79.5	91.4
79.5	89.9
79.6	86.3
79.7	83.2
80	80.2
80	81.2
80	83.2
80.1	86.3
80.3	89.9
80.3	93
80.3	95
80.4	97.1
80.5	99.1
80.7	100.2
80.8	98.1
81.1	94.5
81.1	94
81.1	91.4
81.1	89.9
81.3	91.4
81.3	93
81.4	94.5
81.5	96.1
81.6	96.1
81.6	95.5
81.7	95.5
81.8	96.1
81.8	94.5
81.9	91.4
82.1	89.9
82.2	87.9
82.2	86.3
82.3	86.3
82.3	87.3
82.5	89.4
82.5	89.9
82.6	87.3
82.8	88.9
82.8	89.4
82.8	89.4
82.9	89.9
82.9	89.9
83.1	89.9
83.2	89.9
83.3	87.3
83.3	84.3
83.4	83.2
83.5	83.2
83.6	83.2
83.8	83.8
84.1	89.4
84	91.4
84	94.5
84	95.5
84.1	98.6
84.1	100.2
84.3	102.2
84.3	102.2
84.3	104.3
84.3	104.3
84.4	106.8
84.4	109.9
84.4	111.4
84.5	114.5
84.6	115.6
84.7	115.6
84.7	114.5
84.8	112
84.9	109.4
84.9	104.8
84.9	100.2
84.9	97.1
85	94.5
85	89.9
85.1	86.8
85.1	86.3
85.1	83.8
85.2	82.2
85.3	81.2
85.4	84.3
85.4	87.9
85.5	89.9
85.7	93
85.8	93
85.8	93.5
86	93
86.1	91.4
86.1	88.4
86.4	86.3
86.4	86.3
86.5	88.4
86.5	89.4
86.5	89.4
86.7	89.4
86.7	88.9
86.8	87.3
86.9	87.3
86.9	88.4
87	89.9
87.2	92
87.3	91.4
87.4	88.9
87.4	87.3
87.4	86.3
87.4	86.3
87.6	85.3
87.6	85.8
87.7	87.9
87.7	87.9
87.8	88.4
87.8	91.4
87.9	93
88	93.5
88.3	93.5
88.4	93.5
88.4	93.5
88.5	93
88.6	92
88.7	90.9
88.8	88.9
88.9	85.8
88.9	85.3
88.9	85.3
89.1	82.7
89.1	82.2
89.3	80.7
89.5	81.7
89.6	84.3
89.6	85.3
89.8	86.8
89.9	88.4
90.1	88.9
90.2	87.9
90.3	90.4
90.4	92.5
90.5	94
90.6	94
90.7	94
90.8	92
90.8	89.9
90.8	88.9
90.9	90.4
91	92
91.1	92
91.2	91.4
91.3	89.9
91.3	89.4
91.3	87.9
91.4	85.8
91.5	84.8
91.6	84.8
91.8	86.3
91.8	86.8
91.9	88.9
92	89.4
92.1	88.4
92.1	86.8
92.2	86.3
92.4	86.3
92.5	88.9
92.6	90.4
92.6	92.5
92.8	92
93	93.5
93.1	96.1
93.1	96.6
93.2	99.1
93.2	101.7
93.3	103.2
93.4	103.8
93.5	104.3
93.5	103.2
93.5	99.7
93.6	97.6
93.6	96.6
93.7	96.1
93.7	94.5
93.7	92
93.7	89.4
93.7	88.4
93.8	86.3
93.8	83.8
93.9	83.2
94.1	83.8
94.1	85.3
94.1	89.9
94.2	92
94.4	95.5
94.5	97.1
94.7	97.6
94.9	97.6
94.9	97.6
94.9	95.5
95	95
95.1	93.5
95.1	92.5
95.2	92.5
95.3	92
95.3	92.5
95.3	93.5
95.3	93.5
95.5	93
95.5	93
95.6	92
95.6	90.4
95.6	88.9
95.6	88.9
95.7	87.3
95.7	86.3
95.8	86.3
95.8	85.3
95.9	85.3
95.9	85.3
96	85.8
96	86.8
96.1	89.4
96.1	90.9
96.1	90.9
96.3	92
96.4	92.5
96.4	92.5
96.4	92.5
96.6	92
96.7	91.4
96.8	89.9
96.8	89.4
96.9	88.9
97	87.3
97.1	86.8
97.3	86.3
97.3	86.3
97.5	85.3
97.6	85.3
97.7	85.3
97.8	87.9
97.8	88.4
97.9	89.9
98	92
98.1	94
98.3	95
98.3	95
98.4	93
98.4	92.5
98.4	91.4
98.5	91.4
98.6	91.4
98.7	90.9
98.8	91.4
98.9	94
99	95.5
99.1	96.6
99.2	96.1
99.3	94
99.3	91.4
99.3	91.4
99.4	88.9
99.6	86.3
99.6	86.3
99.7	84.8
99.7	84.8
99.7	84.8
99.8	83.2
99.9	83.2
99.9	83.2
100	83.2
100	83.8
100.1	85.3
100.2	86.3
100.3	86.3
100.4	84.8
100.4	83.2
97.5	86.8
97.5	87.9
97.5	88.4
97.5	88.9
97.5	89.4
97.5	90.4
97.5	90.9
97.6	91.4
97.6	92
97.7	92.5
97.8	94
97.9	94.5
98	95
98.1	95.5
98.1	95.5
98.2	95.5
98.3	95.5
98.4	93.5
98.4	93.5
98.5	93
98.6	94.5
98.6	96.1
98.6	96.6
98.7	96.6
98.7	96.6
98.8	97.1
98.9	95.5
99	93
99.1	89.9
99.3	87.3
99.3	87.3
99.4	85.3
99.5	84.8
100.1	83.8
100.1	83.8
100.1	84.8
100.2	86.3
100.3	87.3
100.3	89.4
100.3	89.4
100.3	89.4
100.3	91.4
100.3	92
100.4	93
100.4	94
100.4	94.5
100.6	94.5
100.6	94.5
100.6	94.5
100.8	95
100.9	95.5
101	97.1
101.1	98.1
101.1	99.1
101.2	99.1
101.3	99.1
101.3	99.1
101.5	95.5
101.6	93
101.6	89.9
101.7	87.3
101.8	87.3
101.9	86.3
102	86.3
102.2	87.9
102.3	89.9
102.5	92
102.6	93
102.6	91.4
102.7	89.4
102.8	87.9
103	87.9
103.1	87.9
103.3	88.4
103.4	88.4
103.6	86.3
103.7	85.8
103.9	86.8
104.1	87.9
104.3	89.4
104.4	89.9
104.4	89.9
104.5	89.9
104.6	90.4
104.6	91.4
104.6	92
104.6	92.5
104.7	93.5
104.7	95
104.7	95
104.8	95
104.9	92.5
105	90.9
105.2	89.9
105.2	91.4
105.4	95
105.4	96.1
105.4	94.5
105.5	92.5
105.6	92
105.7	93
105.7	94.5
105.8	98.1
105.9	98.6
106.1	100.7
106.1	100.7
106.1	100.7
106.1	101.7
106.3	103.2
106.3	105.8
106.3	107.9
106.4	110.4
106.4	110.9
106.4	113
106.5	114
106.6	114
106.7	114
106.8	112.5
106.8	108.4
106.8	104.3
106.8	103.8
106.8	103.8
106.8	102.2
106.8	101.2
106.8	99.7
106.8	95
106.9	93.5
106.9	90.9
106.9	90.4
107	87.3
107	86.3
107	84.3
107.1	82.7
107.2	84.3
107.3	85.8
107.3	87.9
107.4	88.9
107.4	87.9
107.5	86.8
107.6	86.8
107.8	89.4
107.9	91.4
108	93
108.1	95
108.2	95
108.3	90.4
108.4	87.9
108.4	87.9
108.5	85.3
108.8	84.8
108.8	87.3
108.9	89.4
108.9	89.9
108.9	90.9
108.9	91.4
109	91.4
109.1	91.4
109.1	92
109.1	93.5
109.2	95.5
109.4	98.1
109.5	99.7
109.5	99.7
109.6	98.1
109.6	94
109.7	91.4
109.8	89.4
110	87.3
110	85.8
110.1	84.8
110.2	83.2
110.3	82.2
110.4	85.3
110.4	88.4
