Depth	Gamma
86	84.3
86	83.2
86	82.6
86.2	82
86.4	82
86.4	82
86.6	82
86.6	82
86.7	82
86.9	83.2
86.9	84.9
87	89.7
87.1	92.7
87.1	93.3
87.2	94.5
87.2	96.9
87.2	96.9
87.2	98
87.3	99.2
87.4	100.4
87.4	102.2
87.7	100.4
87.8	98.6
87.9	98
87.9	94.5
88	91.5
88	90.3
88.1	91.5
88.2	90.9
88.3	87.9
88.3	84.9
88.3	84.3
88.4	83.8
88.4	83.8
88.5	83.8
88.6	84.9
88.7	87.9
89	92.1
89	92.1
89	92.1
89	89.7
89.1	86.7
89.3	84.3
89.4	81.4
89.4	81.4
89.5	79.6
89.7	80.2
89.9	79.6
90.1	79
90.2	79
90.4	79.6
90.6	79.6
90.6	79.6
90.7	80.8
90.8	83.2
90.9	84.9
90.9	86.1
91	88.5
91	89.1
91.1	90.3
91.2	90.3
91.4	89.1
91.6	87.3
91.6	87.3
91.6	86.1
91.7	83.8
91.7	83.2
91.7	82
91.9	83.2
91.9	83.8
91.9	84.3
92	84.3
92.2	82.6
92.2	82.6
92.2	82.6
92.4	84.3
92.5	85.5
92.5	86.1
92.6	86.7
92.7	87.3
92.8	86.7
92.8	86.7
93	86.7
93	85.5
93	82.6
93.2	81.4
93.4	83.2
93.4	84.3
93.4	87.3
93.5	90.3
93.5	92.1
93.7	93.9
93.8	94.5
94	94.5
94.1	93.3
94.2	92.1
94.2	90.9
94.2	90.3
94.3	88.5
94.4	86.1
94.5	85.5
94.8	86.7
94.9	89.1
95	90.3
95.2	91.5
95.3	92.7
95.4	93.3
95.4	93.9
95.4	94.5
95.5	94.5
95.5	94.5
95.7	95.1
95.8	93.9
95.8	93.3
95.8	92.1
95.9	91.5
96	90.9
96	89.1
96.1	88.5
96.3	88.5
96.3	89.1
96.5	92.7
96.5	92.7
96.8	94.5
96.9	94.5
97	95.1
97.1	96.9
97.2	95.7
97.2	95.1
97.3	94.5
97.4	92.7
97.5	89.1
97.7	89.1
97.7	89.1
97.8	87.9
97.8	87.3
97.9	87.3
98.2	89.7
98.2	92.1
98.4	94.5
98.5	94.5
98.6	92.7
98.6	90.3
98.6	89.7
98.6	89.1
98.6	87.9
98.7	85.5
98.8	84.9
98.9	84.9
99.1	86.1
99.1	87.3
99.2	89.7
99.2	89.7
99.4	92.1
99.6	93.3
99.7	93.9
99.9	93.9
99.9	93.9
100	93.9
100.2	93.9
100.3	92.7
100.3	92.7
100.4	91.5
100.6	90.3
100.6	90.3
100.8	89.1
100.9	87.9
101	87.9
101.1	87.9
101.1	87.9
101.3	87.9
101.4	87.9
101.5	90.3
101.6	92.1
101.7	94.5
101.7	95.1
101.8	95.7
101.9	95.7
102	95.1
102.1	92.7
102.2	89.7
102.2	89.1
102.3	87.3
102.3	87.3
102.4	86.7
102.5	87.9
102.6	88.5
102.6	89.1
102.7	90.3
102.8	90.3
103	87.9
103.2	86.7
103.4	87.9
103.5	91.5
103.6	93.3
103.8	95.1
103.8	95.1
104	93.3
104.1	92.7
104.2	90.9
104.2	90.3
104.3	89.1
104.5	88.5
104.6	89.1
104.9	86.7
104.9	85.5
105	83.8
105	83.2
105.1	83.2
105.3	88.5
105.4	89.7
105.4	90.9
105.6	94.5
105.6	95.1
105.9	95.1
106	95.7
106.1	95.1
106.3	92.1
106.3	91.5
106.3	90.9
106.4	93.9
106.5	95.7
106.6	95.1
106.7	92.7
106.8	92.1
106.9	92.7
107	92.1
107	92.1
107.1	89.1
107.1	88.5
107.2	89.1
107.3	90.9
107.5	92.1
107.6	91.5
107.6	90.9
107.8	90.3
107.8	89.1
107.9	89.7
107.9	90.9
108	90.9
108.1	89.7
108.2	87.9
108.2	87.3
108.3	87.9
108.3	88.5
108.4	89.1
108.4	89.1
108.5	87.9
108.6	86.7
108.7	86.1
108.9	86.7
109	86.7
109.1	86.7
109.2	87.3
109.3	88.5
109.5	89.1
109.5	89.7
109.6	90.9
109.7	91.5
109.8	90.3
109.9	87.3
110.1	86.7
110.3	86.1
110.3	86.7
110.3	89.7
110.6	92.1
110.6	92.1
110.7	90.9
110.9	89.1
110.9	88.5
111	89.7
111.1	90.9
111.2	91.5
111.3	92.1
111.4	92.1
111.4	92.7
111.5	94.5
111.5	95.1
111.7	93.3
111.8	90.3
111.8	89.7
111.9	87.9
112	86.1
112.1	84.9
112.1	83.2
112.2	81.4
112.3	80.8
112.5	84.3
112.5	86.1
112.6	86.1
112.6	86.7
112.7	87.3
112.8	85.5
113.1	84.3
113.2	83.2
113.4	84.9
113.5	86.1
113.7	86.7
113.7	89.1
113.9	91.5
113.9	92.7
113.9	92.7
114	93.3
114.2	93.9
114.3	91.5
114.3	91.5
114.4	90.9
114.6	90.9
114.8	90.3
114.9	88.5
114.9	86.7
114.9	86.1
114.9	84.9
115	84.3
115.1	83.8
115.3	84.9
115.3	86.7
115.5	88.5
115.5	89.1
115.7	91.5
115.7	93.3
115.8	95.1
115.9	95.7
115.9	96.3
115.9	96.9
116	99.2
116.2	99.2
116.3	98.6
116.4	96.9
116.4	96.3
116.5	95.7
116.6	93.9
116.7	92.1
116.8	90.9
116.8	90.9
117	92.7
117	94.5
117.2	94.5
117.3	93.3
117.3	92.7
117.3	92.7
117.6	93.9
117.6	93.9
117.6	95.7
117.9	96.9
118	96.9
118	96.9
118.1	95.7
118.1	94.5
118.1	93.9
118.1	93.3
118.2	92.7
118.3	91.5
118.4	90.3
118.5	90.3
118.6	89.1
118.8	89.7
118.8	90.3
118.9	90.9
118.9	92.1
119	93.3
119.1	93.3
119.1	93.3
119.2	93.3
119.2	93.3
119.2	93.3
119.3	91.5
119.4	90.9
119.5	90.9
119.5	92.7
119.6	93.9
119.7	93.9
119.9	94.5
120	94.5
120	92.7
120	90.3
120.2	90.9
120.2	92.1
120.3	93.9
120.3	94.5
120.5	95.1
120.5	95.1
120.6	94.5
120.6	94.5
120.7	93.3
120.8	93.3
120.8	92.7
121	91.5
121	89.7
121	86.1
121.1	84.3
121.2	83.8
121.3	81.4
121.7	84.9
121.8	86.7
121.9	90.3
122	93.3
122	93.9
122.2	96.9
122.3	100.4
122.3	101
122.3	101
122.4	101.6
122.5	101.6
122.5	99.8
122.6	98.6
122.6	98.6
122.6	96.9
122.6	96.3
122.6	95.1
123.1	93.3
123.1	91.5
123.2	90.3
123.2	89.1
123.2	88.5
123.3	87.3
123.5	87.3
123.6	86.7
123.8	85.5
123.9	85.5
124	86.7
124.2	90.3
124.3	93.9
124.4	96.3
124.4	96.9
124.5	98
124.5	98.6
124.5	98.6
124.7	98.6
124.8	96.3
124.9	95.7
124.9	93.9
124.9	93.3
125.1	92.7
125.2	93.3
125.3	93.9
125.4	93.9
125.5	93.9
125.5	93.3
125.6	91.5
125.6	90.3
125.9	90.3
126	90.9
126	92.1
126.1	93.9
126.1	95.1
126.1	95.7
126.2	95.7
126.3	94.5
126.4	94.5
126.5	95.1
