"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"203","66.4","13.2","","","",""
"204","66.6","13.6","","","",""
"205","66.6","13.6","","","",""
"206","66.9","13.6","","","",""
"207","66.9","13.6","","","",""
"208","67","13.6","","","",""
"209","67.5","14.5","","","",""
"210","67.3","14.5","","","",""
"211","67.5","14.5","","","",""
"212","67.5","14.1","","","",""
"213","67.5","13.7","","","",""
"214","67.7","13.7","","","",""
"215","67.9","13.7","","","",""
"216","67.9","14.1","","","",""
"217","68.2","14.1","","","",""
"218","68.2","14.5","","","",""
"219","68.4","14.5","","","",""
"220","68.6","14.5","","","",""
"221","68.6","13.2","","","",""
"222","68.8","14.1","","","",""
"223","69.2","14.5","","","",""
"224","69.7","15.1","","","",""
"225","69.5","15.5","","","",""
"226","69.5","15.5","","","",""
"227","69.5","15.1","","","",""
"228","69.9","14.7","","","",""
"229","70.1","14.7","","","",""
"230","70.1","14.1","","","",""
"231","70.1","14.1","","","",""
"232","70.4","13.7","","","",""
"233","70.8","13.7","","","",""
"234","70.8","13.2","","","",""
"235","70.8","12.4","","","",""
"236","70.8","12.1","","","",""
"237","70.8","12.1","","","",""
"238","71","12.1","","","",""
"239","71","11.3","","","",""
"240","71","10.6","","","",""
"241","71.2","11.6","","","",""
"242","71.7","12.4","","","",""
"243","71.7","12.8","","","",""
"244","71.7","12.8","","","",""
"245","71.9","12.4","","","",""
"246","72.1","12.1","","","",""
"247","73","12.8","","","",""
"248","73.2","12.8","","","",""
"249","73.2","12.8","","","",""
"250","73.4","12.8","","","",""
"251","73.4","12.8","","","",""
"252","73.9","11.6","","","",""
"253","73.9","11.3","","","",""
"254","74.3","11.6","","","",""
"255","74.5","12.4","","","",""
"256","74.5","12.8","","","",""
"257","74.7","13.2","","","",""
"258","74.9","14.5","","","",""
"259","75.2","14.5","","","",""
"260","75.2","14.1","","","",""
"261","75.2","14.1","","","",""
"262","75","15.4","","","",""
"263","75.2","15.4","","","",""
"264","75.4","15.4","","","",""
"265","75.6","15.4","","","",""
"266","75.6","15.4","","","",""
"267","75.8","14.9","","","",""
"268","75.8","14.5","","","",""
"269","76.1","14.5","","","",""
"270","76.2","13.6","","","",""
"271","76.5","13.6","","","",""
"272","76.5","13.6","","","",""
"273","76.5","13.1","","","",""
"274","76.5","12.8","","","",""
"275","76.7","12.8","","","",""
"276","76.7","12.3","","","",""
"277","76.7","12.3","","","",""
"278","76.9","12","","","",""
"279","76.9","12","","","",""
"280","76.9","11.2","","","",""
"281","76.9","10.5","","","",""
"282","77.1","9.2","","","",""
"283","77.1","9.8","","","",""
"284","77.1","10.8","","","",""
"285","77.1","11.5","","","",""
"286","77.1","12.3","","","",""
"287","77.1","12.7","","","",""
"288","77.4","13.5","","","",""
"289","77.4","14","","","",""
"290","77.8","14","","","",""
"291","77.8","14","","","",""
"292","78","13.1","","","",""
"293","78","12.3","","","",""
"294","78","11.5","","","",""
"295","78.3","12.3","","","",""
"296","78.3","12.7","","","",""
"297","78.4","13.5","","","",""
"298","78.4","14","","","",""
"299","78.7","14","","","",""
"300","78.7","14","","","",""
"301","78.7","13.1","","","",""
"302","78.9","12.8","","","",""
"303","79.1","12","","","",""
"304","79.1","12","","","",""
"305","79.1","12.3","","","",""
"306","79.3","12.7","","","",""
"307","79.6","13.5","","","",""
"308","79.8","14","","","",""
"309","80","14","","","",""
"310","80","13.1","","","",""
"311","80.2","12.8","","","",""
"312","80.4","12.3","","","",""
"313","80.9","12.3","","","",""
"314","81.1","12.3","","","",""
"315","81.3","12.3","","","",""
"316","81.3","11.5","","","",""
"317","81.3","11.5","","","",""
"318","81.8","11.9","","","",""
"319","81.8","12.3","","","",""
"320","81.8","12.3","","","",""
"321","81.8","12","","","",""
"322","81.9","11.5","","","",""
"323","82.2","11.5","","","",""
"324","82.6","11.9","","","",""
"325","82.8","12.3","","","",""
"326","82.8","11.5","","","",""
"327","83.1","11.2","","","",""
"328","83.1","10.8","","","",""
"329","83.1","10.8","","","",""
"330","83.3","10.5","","","",""
"331","83.5","10.5","","","",""
"332","83.5","10.5","","","",""
"333","83.7","11.1","","","",""
"334","84","11.1","","","",""
"335","84.1","12.3","","","",""
"336","84.1","12.3","","","",""
"337","84.4","11.5","","","",""
"338","84.6","11.5","","","",""
"339","84.6","11.9","","","",""
"340","84.8","11.9","","","",""
"341","85","11.9","","","",""
"342","85","11.9","","","",""
"343","85.7","11.2","","","",""
"344","85.7","11.5","","","",""
"345","85.9","11.9","","","",""
"346","86.1","12","","","",""
"347","86.3","11.5","","","",""
"348","86.6","11.2","","","",""
"349","86.8","11.5","","","",""
"350","86.8","12.7","","","",""
"351","87.5","12.7","","","",""
"352","87.9","13.1","","","",""
"353","88.1","13.5","","","",""
"354","88.3","13.5","","","",""
"355","88.8","14.4","","","",""
"356","88.8","14.4","","","",""
"357","88.8","14.9","","","",""
"358","89","13.6","","","",""
"359","89.2","13.6","","","",""
"360","89.2","14.4","","","",""
