"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"203","82.4","15.5","","","",""
"204","82.6","15.9","","","",""
"205","82.9","14.4","","","",""
"206","83.2","13","","","",""
"207","83.2","11.2","","","",""
"208","83.6","13.4","","","",""
"209","83.7","15.1","","","",""
"210","83.9","15.9","","","",""
"211","84.1","14.4","","","",""
"212","84.1","13.7","","","",""
"213","84.3","13.4","","","",""
"214","84.6","13.4","","","",""
"215","84.6","14.4","","","",""
"216","84.6","14.7","","","",""
"217","84.6","14.7","","","",""
"218","85.3","14.4","","","",""
"219","85.6","14.4","","","",""
"220","86","14.1","","","",""
"221","86.3","13.7","","","",""
"222","86.7","13.7","","","",""
"223","86.8","13.4","","","",""
"224","87.2","13.7","","","",""
"225","87.3","14","","","",""
"226","87.5","13.4","","","",""
"227","87.8","13.7","","","",""
"228","88","13.7","","","",""
"229","88.5","13.7","","","",""
"230","88.9","13.4","","","",""
"231","89.4","13.7","","","",""
"232","89.7","12.7","","","",""
"233","90.3","14","","","",""
"234","90.8","13","","","",""
"235","91.3","13.3","","","",""
"236","91.5","12.7","","","",""
"237","91.6","12.7","","","",""
"238","92.3","13","","","",""
"239","92.8","13.4","","","",""
"240","93.5","13.4","","","",""
"241","93.8","13.4","","","",""
"242","94.3","15.1","","","",""
"243","94.5","15.1","","","",""
"244","95","14.4","","","",""
"245","95.2","14.4","","","",""
"246","95.4","14.1","","","",""
"247","95.7","14.4","","","",""
"248","96","13.4","","","",""
"249","96","12.7","","","",""
"250","96.6","14","","","",""
"251","97.1","14.4","","","",""
"252","97.3","13.4","","","",""
"253","97.6","17.2","","","",""
"254","97.8","21.9","","","",""
"255","98","23","","","",""
"256","98","20.4","","","",""
"257","98.3","18","","","",""
"258","98.4","17.5","","","",""
"259","98.6","16.7","","","",""
"260","98.8","15.1","","","",""
"261","98.8","14.8","","","",""
"262","98.8","14.1","","","",""
"263","98.8","13.7","","","",""
"264","99.1","13.4","","","",""
"265","99.5","14","","","",""
"266","99.7","14","","","",""
"267","100","14.7","","","",""
"268","100.3","14.1","","","",""
"269","100.5","14.1","","","",""
"270","100.7","13.7","","","",""
"271","100.7","13.6","","","",""
"272","101.4","15","","","",""
"273","101.4","15.3","","","",""
"274","101.7","15","","","",""
"275","101.7","14","","","",""
"276","101.7","13.3","","","",""
"277","101.9","12.9","","","",""
"278","102.1","12.9","","","",""
"279","102.2","12.9","","","",""
"280","102.2","12.7","","","",""
"281","102.4","12.7","","","",""
"282","102.6","12.9","","","",""
"283","102.6","12.9","","","",""
"284","102.6","12.9","","","",""
"285","102.8","12.7","","","",""
"286","102.9","13.6","","","",""
"287","102.9","14.3","","","",""
"288","103.1","15","","","",""
"289","103.1","15.3","","","",""
"290","103.1","15.3","","","",""
"291","103.5","15.3","","","",""
"292","103.5","15.3","","","",""
"293","103.5","15","","","",""
"294","103.6","14.7","","","",""
"295","103.6","13.6","","","",""
"296","103.6","13.6","","","",""
"297","103.8","13.6","","","",""
"298","103.9","13.6","","","",""
"299","104.1","14.3","","","",""
"300","104.3","15","","","",""
"301","104.3","14.7","","","",""
"302","104.5","14.7","","","",""
"303","104.5","14.3","","","",""
"304","104.5","14","","","",""
"305","104.6","13.6","","","",""
"306","104.8","13.6","","","",""
"307","105","13.3","","","",""
"308","105.2","13.9","","","",""
"309","105.3","14.3","","","",""
"310","105.3","14.3","","","",""
"311","105.3","15","","","",""
"312","105.7","15","","","",""
"313","105.8","15","","","",""
"314","105.8","15","","","",""
"315","106","15","","","",""
"316","106","15","","","",""
"317","106","15.3","","","",""
"318","106","15.8","","","",""
"319","106","15.8","","","",""
"320","106.3","16.1","","","",""
"321","106.3","15.8","","","",""
"322","106.5","15.4","","","",""
"323","106.5","14.7","","","",""
"324","106.5","14.3","","","",""
"325","106.7","14","","","",""
"326","106.9","14","","","",""
"327","106.9","13.6","","","",""
"328","107","14.3","","","",""
"329","107","14.3","","","",""
"330","107.2","14.3","","","",""
"331","107.4","14.3","","","",""
"332","107.4","14.3","","","",""
"333","107.6","14","","","",""
"334","107.7","13.6","","","",""
"335","108","13.9","","","",""
"336","108","14.3","","","",""
"337","108.2","15","","","",""
"338","108.4","15.3","","","",""
"339","108.4","15.8","","","",""
"340","108.7","16.6","","","",""
"341","108.7","16.9","","","",""
"342","108.9","17.4","","","",""
"343","109.1","18.3","","","",""
"344","109.1","18.7","","","",""
"345","109.1","20.2","","","",""
"346","109.1","20.6","","","",""
"347","109.1","22.3","","","",""
"348","109.3","22.8","","","",""
"349","109.3","20.2","","","",""
"350","109.4","20.2","","","",""
"351","109.4","19.2","","","",""
"352","109.4","18.8","","","",""
"353","109.4","17.9","","","",""
"354","109.6","17.4","","","",""
"355","109.6","17","","","",""
"356","109.6","16.6","","","",""
"357","109.8","15.4","","","",""
"358","109.8","15","","","",""
"359","109.8","14.3","","","",""
"360","109.8","14","","","",""
"361","110.1","13.3","","","",""
"362","110.1","13.3","","","",""
"363","110.1","13.6","","","",""
"364","110.1","13.9","","","",""
"365","110.1","13.9","","","",""
"366","110.1","13.9","","","",""
"367","110.1","13.6","","","",""
"368","110.3","13.6","","","",""
"369","110.4","13.3","","","",""
"370","110.4","13.3","","","",""
"371","110.4","13.9","","","",""
"372","110.4","14.3","","","",""
"373","110.8","14.6","","","",""
"374","110.8","14.6","","","",""
"375","111","15","","","",""
"376","111","15.3","","","",""
"377","111.1","15.3","","","",""
"378","111.1","14.3","","","",""
"379","111.3","14","","","",""
"380","111.3","14","","","",""
"381","111.3","14","","","",""
"382","111.5","14.6","","","",""
"383","111.7","14.6","","","",""
"384","111.7","14.6","","","",""
"385","111.7","14.6","","","",""
"386","111.8","14","","","",""
"387","111.8","13.3","","","",""
"388","111.8","12.9","","","",""
"389","111.8","12.7","","","",""
"390","111.8","12","","","",""
"391","112","11.7","","","",""
"392","112","11.7","","","",""
"393","112","11.5","","","",""
"394","112","10.9","","","",""
"395","112.2","10.4","","","",""
"396","112.3","10.1","","","",""
"397","112.5","11.1","","","",""
"398","112.3","12","","","",""
"399","112.3","12.6","","","",""
"400","112.3","13.6","","","",""
"401","112.7","14.3","","","",""
"402","112.8","14","","","",""
"403","112.8","13.6","","","",""
"404","113.2","12.3","","","",""
"405","113.2","11.7","","","",""
"406","113.4","11.5","","","",""
"407","113.5","12","","","",""
"408","113.7","12.6","","","",""
"409","113.7","13.2","","","",""
"410","114.1","15.3","","","",""
"411","114.1","15.3","","","",""
"412","114.2","14.3","","","",""
"413","114.2","13.6","","","",""
"414","114.4","12.9","","","",""
"415","114.4","12.7","","","",""
"416","114.4","13.6","","","",""
"417","114.7","13.9","","","",""
"418","114.9","14.6","","","",""
"419","114.9","15","","","",""
"420","115.2","15.3","","","",""
"421","115.4","15","","","",""
"422","115.6","16.1","","","",""
"423","115.8","18.3","","","",""
"424","115.9","17","","","",""
"425","115.9","16.6","","","",""
"426","116.1","15.4","","","",""
"427","116.1","14.7","","","",""
"428","116.1","14.3","","","",""
"429","116.1","14.3","","","",""
"430","116.3","14.3","","","",""
"431","116.5","14.3","","","",""
"432","116.5","15","","","",""
"433","116.9","15","","","",""
"434","116.9","15","","","",""
"435","117.1","14.3","","","",""
"436","117.3","13.6","","","",""
"437","117.3","13.6","","","",""
"438","117.5","13.9","","","",""
"439","117.5","14.3","","","",""
"440","117.6","14.6","","","",""
"441","117.8","15","","","",""
"442","117.8","15","","","",""
"443","117.8","15","","","",""
"444","117.8","14.3","","","",""
"445","118","14","","","",""
"446","118","13.3","","","",""
"447","118","12.9","","","",""
"448","118.2","12.9","","","",""
"449","118.3","13.6","","","",""
"450","118.3","13.9","","","",""
"451","118.3","15","","","",""
"452","118.5","15.3","","","",""
"453","118.8","16.1","","","",""
"454","118.8","16.1","","","",""
"455","118.8","15.8","","","",""
"456","118.8","14.7","","","",""
"457","119","14.3","","","",""
"458","119","13.3","","","",""
"459","119","12.7","","","",""
"460","119","12","","","",""
"461","119.2","12","","","",""
"462","119.2","11.7","","","",""
"463","119.2","10.9","","","",""
"464","119.3","10.9","","","",""
"465","119.5","10.6","","","",""
"466","119.5","10.6","","","",""
"467","119.5","11.7","","","",""
"468","119.5","12","","","",""
"469","120","13.6","","","",""
"470","120.2","15","","","",""
"471","120.2","15","","","",""
"472","120.2","14","","","",""
"473","120.4","13.6","","","",""
"474","120.4","13.3","","","",""
"475","120.6","12.9","","","",""
"476","120.6","12.3","","","",""
"477","120.7","12","","","",""
"478","120.7","12","","","",""
"479","120.9","11.5","","","",""
"480","120.9","10.9","","","",""
"481","120.9","11.1","","","",""
"482","121","11.1","","","",""
"483","121.6","11.4","","","",""
"484","121.7","11.4","","","",""
"485","121.9","11.7","","","",""
"486","122.3","11.5","","","",""
"487","122.4","11.5","","","",""
"488","122.6","11.7","","","",""
"489","122.8","12.3","","","",""
"490","123","12.6","","","",""
"491","123","13.2","","","",""
"492","123.1","13.6","","","",""
"493","123.1","13.9","","","",""
"494","123.1","14.3","","","",""
"495","123.4","15.3","","","",""
"496","123.6","15.8","","","",""
"497","123.6","16.6","","","",""
"498","123.6","17.4","","","",""
"499","123.8","17.8","","","",""
"500","124","16.6","","","",""
"501","124.1","15.4","","","",""
"502","124.1","15","","","",""
"503","124.1","15","","","",""
"504","124.3","14.7","","","",""
"505","124.3","14.7","","","",""
"506","124.5","14.7","","","",""
"507","124.8","14.7","","","",""
"508","125","15","","","",""
"509","125.1","15","","","",""
"510","125.1","14.7","","","",""
"511","125.3","14","","","",""
"512","125.5","14","","","",""
"513","125.5","14","","","",""
"514","125.5","13.6","","","",""
"515","125.7","13.6","","","",""
"516","125.7","13.3","","","",""
"517","125.9","12.9","","","",""
"518","126.5","13.3","","","",""
"519","126.5","12.3","","","",""
"520","126.5","11.5","","","",""
"521","126.8","11.4","","","",""
"522","127","12.3","","","",""
"523","127.2","13.9","","","",""
"524","127.5","13.9","","","",""
"525","127.9","12.9","","","",""
"526","128.2","12.9","","","",""
"527","128.2","12.9","","","",""
"528","128.4","13.2","","","",""
"529","128.6","12.7","","","",""
"530","128.6","12.7","","","",""
"531","128.7","12.3","","","",""
"532","128.9","13.2","","","",""
"533","129.1","13.9","","","",""
"534","129.2","13.9","","","",""
"535","129.4","13.9","","","",""
"536","129.6","13.9","","","",""
"537","129.6","13.9","","","",""
"538","129.8","13.6","","","",""
"539","129.8","12.7","","","",""
"540","130.3","12.3","","","",""
"541","130.3","12","","","",""
"542","130.5","10.9","","","",""
"543","130.6","10.6","","","",""
"544","130.8","11.7","","","",""
"545","130.8","12.6","","","",""
"546","130.8","13.2","","","",""
"547","131.1","13.9","","","",""
"548","131.3","13.9","","","",""
"549","131.3","12.9","","","",""
"550","131.5","12.3","","","",""
"551","131.5","12","","","",""
"552","131.5","11.7","","","",""
"553","131.5","11.1","","","",""
"554","131.6","11.1","","","",""
"555","131.6","11.7","","","",""
"556","132","12","","","",""
"557","132","12","","","",""
"558","132.2","12.6","","","",""
"559","132.3","12.3","","","",""
"560","132.3","11.7","","","",""
"561","132.3","11.5","","","",""
"562","132.3","11.1","","","",""
"563","132.5","10.9","","","",""
"564","132.7","10.4","","","",""
"565","132.7","10.1","","","",""
"566","133","10.3","","","",""
"567","133.2","11.1","","","",""
"568","133.3","11.7","","","",""
"569","133.3","12.3","","","",""
"570","133.5","12.6","","","",""
"571","133.7","12.9","","","",""
"572","133.7","12.9","","","",""
"573","133.7","12","","","",""
"574","133.7","11.7","","","",""
"575","133.9","11.1","","","",""
"576","133.9","10.4","","","",""
"577","133.9","9.9","","","",""
"578","134","9.6","","","",""
"579","134","9.6","","","",""
"580","134.6","9.8","","","",""
"581","134.6","10.8","","","",""
"582","134.6","11.1","","","",""
"583","134.7","12.3","","","",""
"584","134.9","12.3","","","",""
"585","135.2","12.6","","","",""
"586","135.4","12.6","","","",""
"587","135.4","11.7","","","",""
"588","135.4","11.5","","","",""
"589","135.4","11.1","","","",""
"590","135.6","10.9","","","",""
"591","135.6","10.9","","","",""
"592","135.6","10.6","","","",""
"593","135.6","11.7","","","",""
"594","136.1","12.3","","","",""
"595","136.3","12.9","","","",""
"596","136.3","12.9","","","",""
"597","136.6","12.7","","","",""
"598","136.8","12","","","",""
"599","136.8","11.5","","","",""
"600","136.8","11.5","","","",""
"601","137.1","12","","","",""
"602","137.1","12","","","",""
"603","137.6","12.3","","","",""
"604","137.8","11.7","","","",""
"605","137.8","12","","","",""
"606","138","12.9","","","",""
"607","138.1","13.2","","","",""
"608","138.3","13.6","","","",""
"609","138.3","13.9","","","",""
"610","138.8","13.3","","","",""
"611","139.2","12.7","","","",""
"612","139.2","12.3","","","",""
"613","139.2","11.7","","","",""
"614","139.2","11.7","","","",""
"615","139.2","12","","","",""
"616","139.2","12.3","","","",""
"617","139.2","12.3","","","",""
"618","139.2","12","","","",""
"619","139.2","11.7","","","",""
"620","139.5","11.5","","","",""
"621","139.5","11.1","","","",""
"622","139.7","10.6","","","",""
"623","139.7","10.6","","","",""
"624","139.8","10.6","","","",""
"625","139.8","10.6","","","",""
"626","139.8","10.6","","","",""
"627","140","10.8","","","",""
"628","140.2","10.8","","","",""
"629","140.2","11.1","","","",""
"630","140.4","11.4","","","",""
"631","140.4","11.4","","","",""
"632","140.5","11.7","","","",""
"633","140.5","12","","","",""
"634","140.5","12","","","",""
"635","140.9","11.7","","","",""
"636","141.1","11.7","","","",""
"637","141.1","11.5","","","",""
"638","141.1","11.1","","","",""
"639","141.1","11.1","","","",""
"640","141.2","11.1","","","",""
"641","141.4","11.4","","","",""
"642","141.4","12","","","",""
"643","141.4","12.3","","","",""
"644","141.5","13.2","","","",""
"645","141.5","13.2","","","",""
"646","141.7","13.2","","","",""
"647","141.7","13.2","","","",""
"648","141.9","12.9","","","",""
"649","142.1","12.9","","","",""
"650","142.2","13.2","","","",""
"651","142.4","13.2","","","",""
"652","142.6","13.9","","","",""
"653","142.8","13.9","","","",""
"654","142.8","13.9","","","",""
"655","142.8","13.9","","","",""
"656","142.8","13.9","","","",""
"657","142.9","13.9","","","",""
"658","143.1","15","","","",""
"659","143","13.6","","","",""
"660","143","12.9","","","",""
"661","143","12.3","","","",""
"662","143","11.7","","","",""
"663","143.1","10.9","","","",""
"664","143.3","10.6","","","",""
"665","143.5","10.4","","","",""
"666","143.6","11.1","","","",""
"667","143.6","11.4","","","",""
"668","143.8","12.3","","","",""
"669","143.8","12.9","","","",""
"670","144.3","13.6","","","",""
"671","144.5","13.6","","","",""
"672","144.6","12.7","","","",""
"673","144.8","12.3","","","",""
"674","145","12","","","",""
"675","145.2","12","","","",""
"676","145.3","12.3","","","",""
"677","145.5","12.3","","","",""
"678","146.2","12.6","","","",""
