LOKALNAMN;X;Y;N;E;SCANNINGSNR WELL LOGS ;SCANNINGSNR reports
Båticke-3;6376630;1676180;6377090;724360;;SC23427-3493  
Gurpe-2;6373780;1671400;6374180;719610;;SC23427-3511  
Trosings-1;6370630;1679024;6371120;727270;;SC23427-3519  
Båtels-1;6358755;1652709;6358939;701103;;SC23427-3565  
Smiss-1;6358555;1650673;6358715;699070;;SC23427-3566  
När-1;6351700;1669500;6352100;718000;;
Gläves-1;6349081;1665157;6349415;713663;;
Hemse-1?;6348964;1655827;6349188;704336;;
Spännarve-1;6347619;1670293;6348015;718815;;SC23427-3535  
Änge-2;6346087;1652576;6346273;701120;;SC23427-3561  
Vätskog-1;6345748;1654285;6345955;702833;;SC23427-3562  
Långvät-1;6345531;1663115;6345842;711663;;SC23427-3614  
Grötlingbo-1;6335550;1660000;6335830;708670;;
Näs-2;6335098;1649261;6335248;697936;;SC23427-3515  
Skåls;6329531;1645044;6329633;693786;;
Faludden-3;6321000;1657000;6321000;706000;;SC23427-3516 
Bonsarve-3A;6317619;1648726;6317767;697608;;SC23427-3564  
