147.00,0.22
147.30,0.17
147.60,0.23
147.90,0.15
148.20,0.28
148.50,0.23
148.80,0.34
149.10,0.33
149.40,0.23
149.70,0.24
150.00,0.24
150.30,0.34
150.60,0.39
150.90,0.31
151.20,0.25
151.50,0.09
151.80,0.19
152.10,0.19
152.40,0.29
152.70,0.21
153.00,0.24
153.30,0.17
153.60,0.21
153.90,0.25
154.20,0.27
154.50,0.28
154.80,0.25
155.10,0.08
156.02,0.08
156.30,0.17
156.60,0.12
156.90,0.1
157.20,0.05
157.50,0.17
157.80,0.11
158.10,0.04
158.40,0.17
159.00,0.07
159.30,0.13
159.60,0.18
159.90,0.17
160.20,-0.1
160.50,0.06
160.80,-0.1
161.10,0.1
161.40,0.17
161.70,0
162.00,-0.01
162.30,0.11
162.60,0.19
162.90,0.2
163.20,-0.04
163.50,-0.04
163.80,0.07
164.10,-0.02
164.40,0.13
164.70,-0.07
165.00,0.02
165.30,-0.01
165.60,-0.03
165.90,0.05
166.20,0
166.50,0.12
166.80,-0.02
167.10,0.03
167.40,0.1
167.55,0.16
167.70,0.07
167.85,0
168.00,0.1
168.16,-0.15
168.30,-0.17
168.45,0.01
168.60,0.17
168.75,0.05
168.90,0.09
169.05,-0.06
169.50,-0.08
169.65,-0.01
169.80,0
169.95,0
170.11,-0.01
170.25,0.04
170.40,-0.03
170.55,0.03
170.70,0.06
170.85,-0.17
171.00,0.07
171.15,-0.02
171.30,-0.07
171.45,0.02
171.60,0
171.75,0.03
171.90,-0.11
172.05,-0.07
172.20,-0.14
172.35,-0.02
172.50,0.12
172.65,-0.1
172.80,-0.2
172.95,-0.06
173.10,0.04
173.25,0.01
173.40,-0.13
173.55,0.01
173.70,0.01
173.85,-0.04
174.00,0.07
174.15,-0.11
174.30,-0.12
174.45,-0.07
174.60,0.08
174.75,0.06
174.90,-0.06
175.05,-0.1
175.20,0.05
175.35,0.04
175.50,-0.15
175.65,0.01
175.80,-0.09
175.95,-0.03
176.10,-0.06
176.25,-0.12
176.40,-0.05
176.55,-0.29
176.70,0.06
176.85,0.06
177.00,0.06
177.15,0
177.30,-0.07
177.45,0
177.60,0.17
177.75,-0.05
177.90,-0.04
178.05,-0.06
178.20,-0.1
178.35,-0.05
178.50,0
178.65,-0.03
178.80,-0.09
178.95,-0.12
179.10,-0.11
179.25,-0.15
179.40,-0.02
179.55,-0.07
179.70,-0.04
179.85,0
180.00,0.05
180.15,-0.02
180.30,-0.11
180.45,-0.12
180.60,-0.24
180.75,-0.29
180.90,-0.12
181.05,-0.03
181.20,0.1
181.35,-0.06
181.50,-0.04
181.65,0.02
181.80,0.22
181.95,0.01
182.10,-0.24
182.25,-0.11
182.40,-0.04
182.55,-0.09
182.70,0.06
182.85,0.09
183.00,0.04
183.15,0.01
183.30,-0.17
183.45,-0.16
183.60,-0.09
183.75,-0.24
183.90,0.03
184.05,0.27
184.20,0.23
184.35,0.18
184.50,0.14
184.65,0.18
184.80,0.16
184.95,0.2
185.10,-0.01
185.25,0.03
185.40,0.09
185.55,0.06
185.70,0.01
185.85,-0.05
186.00,0
186.15,-0.33
186.30,0.16
186.45,0.09
186.60,0.02
186.75,0
186.90,0.14
187.05,-0.06
187.20,0.06
187.35,0.04
187.50,-0.05
187.65,0.03
187.80,0.04
187.95,-0.05
188.10,0.18
188.25,0.28
188.40,0.3
188.55,0.13
188.70,-0.06
188.85,0.09
189.00,0.16
189.15,-0.25
189.30,0.15
189.45,0.06
189.59,0.02
189.75,0.08
189.90,-0.01
190.05,0.05
190.30,-0.06
190.55,0.06
190.80,0.24
191.05,0.14
191.20,0.13
191.35,0.14
191.50,0.18
191.66,0.34
191.76,0.14
191.95,0.1
192.10,0.13
192.25,0.13
192.40,0.08
192.55,0.02
192.70,0.05
192.85,0.15
193.00,-0.14
193.15,0.05
193.30,0.05
193.45,0.08
193.60,0.01
193.75,0.1
193.90,0.11
194.05,0.14
194.20,0.07
194.35,-0.17
194.50,0.21
194.65,0
194.80,0.03
194.95,0.03
195.10,0.06
195.25,0.16
195.40,0.08
195.55,0.02
195.70,0.03
195.85,0.16
196.00,-0.05
196.30,0.14
196.45,0.02
196.60,-0.06
196.75,0.11
196.90,0.04
197.05,0.11
197.20,-0.13
197.35,0.03
197.50,-0.11
197.65,-0.13
197.80,-0.16
197.95,0
198.10,-0.06
198.25,-0.17
198.40,-0.28
198.55,-0.02
198.70,0.11
198.85,0.11
199.00,0.12
199.15,0.03
199.30,-0.16
199.45,-0.22
199.60,-0.12
199.75,0.07
199.90,0.04
200.05,0.14
200.20,-0.2
200.35,-0.01
200.50,-0.25
200.65,0.02
200.80,0.06
200.95,-0.16
201.10,0
201.25,-0.19
201.40,0.02
201.55,-0.01
201.70,0.04
201.85,0.07
202.00,-0.1
202.15,-0.13
202.30,0.11
202.45,-0.08
202.60,0.03
202.75,0.02
202.90,0.02
203.05,0.12
203.20,0.04
203.35,0.19
203.50,0.03
203.65,0.08
203.80,0.13
203.95,0
204.10,-0.12
204.25,0.07
204.40,0.01
204.55,-0.37
204.70,-0.08
204.85,0.28
205.00,-0.13
205.15,-0.39
205.30,0.06
205.45,0.14
205.60,0.09
205.75,0.08
205.90,0.08
206.05,-0.02
206.20,0.04
206.35,0.09
206.50,-0.09
206.65,-0.03
206.80,-0.59
206.95,0.05
207.10,0.06
207.25,-0.01
207.40,-0.04
207.55,0.02
207.70,0.18
207.85,0.11
208.00,-0.41
208.15,-0.07
208.30,-0.17
208.45,0.2
208.60,0.16
208.75,0.01
208.90,0.16
209.05,0.12
209.20,0.11
209.35,-0.97
209.50,0.03
209.65,-0.13
209.80,-0.03
209.95,0.07
210.10,0.05
210.25,0.24
210.40,0.04
210.55,-0.81
210.70,0.01
210.85,-0.55
211.00,0.17
211.15,0.28
211.30,0.19
211.45,0.31
211.60,0.31
211.75,0.36
211.90,0.27
212.05,0.24
212.20,0.21
212.35,0.07
212.50,-0.57
212.65,0.2
212.80,0.02
212.95,0.23
213.10,0.11
213.25,0.31
213.40,0.38
213.55,0.22
213.70,0.17
213.85,0.1
214.00,0.12
214.15,0.37
214.30,0.17
214.45,0.1
214.60,0.27
214.75,0.46
214.90,-0.25
215.05,0.3
215.20,0.06
215.35,0.2
215.50,-0.15
215.65,0.23
215.80,0.27
215.95,0.17
216.10,0.15
216.25,-0.15
216.40,0.13
216.55,0.41
216.70,-0.09
216.85,0.23
217.00,0.38
217.15,-0.32
217.30,-0.2
217.45,0.18
217.60,-0.8
217.75,0.34
217.90,0.32
218.05,-0.26
218.20,0.05
218.35,0.4
218.50,0.13
218.65,-0.39
218.80,0.26
218.95,-0.15
219.10,0.04
219.25,0.42
219.40,0.39
219.55,0.29
219.70,0.54
219.85,0.53
220.00,0.48
220.15,0.59
220.30,0.64
220.45,0.69
220.60,0.17
220.75,0.41
220.90,0.45
221.05,0.18
221.20,0.35
221.35,0.37
221.50,0.58
221.65,0.19
221.80,0.41
221.95,0.39
