X,Y,MD,Surface,Well
1646554,6321248,364.29,Ireviken peak 4,Kastelle-1
1646554,6321248,367.54,Ireviken peak 3,Kastelle-1
1646554,6321248,371.88,Ireviken peak 2,Kastelle-1
1646554,6321248,376.83,Ireviken peak 1,Kastelle-1
1646554,6321248,418.45,base telychian,Kastelle-1
1646554,6321248,423.84,base silurian,Kastelle-1
1646554,6321248,380.18,base Ireviken,Kastelle-1
1646554,6321248,-1.05,0m,Kastelle-1
1657906,6335536,243.5,2ndmulde,Kauparve-1
1657906,6335536,265.87,Mulde,Kauparve-1
1657906,6335536,378.73,mid telychian unconformity?,Kauparve-1
1657906,6335536,154.75,linde?,Kauparve-1
1657906,6335536,41.37,Lau,Kauparve-1
1657906,6335536,327.46,Ireviken peak 7,Kauparve-1
1657906,6335536,332.48,Ireviken peak 6,Kauparve-1
1657906,6335536,337.02,Ireviken peak 5,Kauparve-1
1657906,6335536,339.96,Ireviken peak 4,Kauparve-1
1657906,6335536,344.05,Ireviken peak 3,Kauparve-1
1657906,6335536,348.11,Ireviken peak 2,Kauparve-1
1657906,6335536,350.87,Ireviken peak 1,Kauparve-1
1657906,6335536,390.9,base telychian,Kauparve-1
1657906,6335536,398.29,base silurian,Kauparve-1
1657906,6335536,356.53,base Ireviken,Kauparve-1
1657906,6335536,0,0m,Kauparve-1
1645813,6319704,258.5,2ndmulde,Kvarne-1
1645813,6319704,279.41,Mulde,Kvarne-1
1645813,6319704,419.54,mid telychian unconformity?,Kvarne-1
1645813,6319704,200.88,linde?,Kvarne-1
1645813,6319704,73.89,Lau,Kvarne-1
1645813,6319704,355.68,Ireviken peak 7,Kvarne-1
1645813,6319704,359.63,Ireviken peak 6,Kvarne-1
1645813,6319704,363.95,Ireviken peak 5,Kvarne-1
1645813,6319704,371.82,Ireviken peak 4,Kvarne-1
1645813,6319704,375.94,Ireviken peak 3,Kvarne-1
1645813,6319704,380.07,Ireviken peak 2,Kvarne-1
1645813,6319704,382.69,Ireviken peak 1,Kvarne-1
1645813,6319704,427.28,base telychian,Kvarne-1
1645813,6319704,430,base silurian,Kvarne-1
1645813,6319704,377.23,base Ireviken,Kvarne-1
1645813,6319704,10,0m,Kvarne-1
1646331,6319877,256.5,2ndmulde,Kvarne-2
1646331,6319877,279.41,Mulde,Kvarne-2
1646331,6319877,405.39,mid telychian unconformity?,Kvarne-2
1646331,6319877,200.88,linde?,Kvarne-2
